ax,ay,az,gx,gy,gz,mx,my,mz
0.3242188,0.4333496,-0.8632813,6.89313,14.03817,-6.244275,-32.2,-152.72,28.52
0.2275391,0.4680176,-0.8322754,3.854962,7.534351,0.3740458,-32.2,-152.72,28.52
0.2148438,0.4782715,-0.8491211,4.236641,2.320611,-0.2213741,-32.2,-152.72,28.52
0.3007813,0.4267578,-0.8354492,2.335878,-6.519084,3.221374,-32.2,-152.72,28.52
0.3615723,0.4199219,-0.833252,4.137404,3.725191,6.465649,-32.2,-152.72,28.52
0.2836914,0.4667969,-0.840332,5.091603,17.8855,-2.931298,-32.2,-152.72,27.6
0.2260742,0.4880371,-0.8369141,1.030534,6.038168,3.274809,-32.2,-152.72,27.6
0.263916,0.4301758,-0.8500977,-4.687023,-4.748092,2.374046,-32.2,-152.72,27.6
0.3317871,0.3864746,-0.8339844,5.022901,0.08396947,3.763359,-32.2,-152.72,28.52
0.3222656,0.4443359,-0.8527832,9.977099,11.17557,-1.21374,-32.2,-152.72,28.52
0.2629395,0.4890137,-0.8132324,5.343512,8.916031,6.374046,-32.2,-152.72,28.52
0.2624512,0.4953613,-0.8474121,-8.152672,-0.9770992,-1.717557,-33.12,-153.64,28.52
0.3203125,0.411377,-0.838623,-9.732824,0.778626,-0.8854962,-33.12,-153.64,28.52
0.3361816,0.3999023,-0.869873,3.633588,9.244275,-0.3282443,-32.2,-152.72,28.52
0.2753906,0.427002,-0.8356934,7.534351,10.40458,-0.3969466,-32.2,-152.72,28.52
0.2578125,0.4714355,-0.8469238,7.114504,2.458015,1.557252,-32.2,-152.72,28.52
0.3012695,0.4538574,-0.8303223,-0.7480916,-0.740458,1.557252,-33.12,-152.72,28.52
0.3527832,0.4165039,-0.8376465,0.610687,6.389313,2.374046,-33.12,-152.72,28.52
0.2944336,0.4284668,-0.8603516,4.328244,18.06107,-1.549618,-33.12,-152.72,28.52
0.2175293,0.4438477,-0.8410645,6.236641,7.114504,0.2748091,-33.12,-152.72,28.52
0.2805176,0.4577637,-0.84375,6.007634,-7.091603,4.496183,-33.12,-152.72,28.52
0.3776855,0.4550781,-0.878418,5.259542,7.366412,0.09923664,-33.12,-152.72,28.52
0.284668,0.4555664,-0.8498535,-0.4656488,15.47328,1.374046,-33.12,-152.72,28.52
0.2404785,0.4333496,-0.840332,-1.900763,3.694656,2.450382,-33.12,-152.72,28.52
0.3200684,0.4072266,-0.8552246,9.938931,-0.3969466,2.51145,-34.04,-152.72,29.44
0.3183594,0.4643555,-0.8303223,6.778626,6.641222,0.5343512,-34.04,-152.72,29.44
0.3242188,0.4697266,-0.8000488,-3.389313,6.076336,0.9465649,-34.04,-152.72,29.44
0.3862305,0.4467773,-0.8486328,-14.9771,15.0,10.14504,-34.04,-152.72,27.6
0.2851563,0.4230957,-0.894043,-13.94656,29.30534,3.129771,-34.04,-152.72,27.6
0.1906738,0.3962402,-0.8461914,8.770992,8.335877,-0.6183206,-35.88,-151.8,31.28
0.2836914,0.4553223,-0.8325195,13.92366,-8.893129,5.557252,-35.88,-151.8,31.28
0.4086914,0.5083008,-0.8508301,3.587786,4.923664,0.5496183,-35.88,-151.8,31.28
0.3376465,0.4790039,-0.822998,-10.64886,21.84733,5.045802,-35.88,-152.72,29.44
0.1958008,0.4206543,-0.8383789,-9.625955,13.33588,-2.206107,-35.88,-152.72,29.44
0.2573242,0.3759766,-0.8435059,9.076336,-9.977099,-3.717557,-35.88,-152.72,29.44
0.4262695,0.449707,-0.8215332,16.32061,-6.290076,1.259542,-35.88,-150.88,31.28
0.3935547,0.5129395,-0.8261719,-1.038168,23.67175,-6.435114,-35.88,-150.88,31.28
0.2275391,0.4648438,-0.8244629,-10.25954,15.0,-3.137405,-35.88,-151.8,30.36
0.2644043,0.3947754,-0.8605957,-5.946565,-3.656489,2.10687,-35.88,-151.8,30.36
0.3947754,0.4123535,-0.8435059,9.770992,4.21374,-3.396947,-35.88,-151.8,30.36
0.376709,0.5070801,-0.8505859,10.17557,14.26718,-0.5801527,-35.88,-151.8,30.36
0.2717285,0.501709,-0.8374023,-3.152672,15.0229,-1.526718,-35.88,-151.8,30.36
0.300293,0.4135742,-0.8112793,-3.21374,-0.5954198,0.8396947,-35.88,-151.8,30.36
0.3491211,0.3911133,-0.8244629,5.534351,4.412214,-0.2671756,-36.8,-150.88,31.28
0.3757324,0.4025879,-0.8015137,16.19084,0.8244275,7.122138,-36.8,-150.88,31.28
0.3840332,0.4794922,-0.8618164,12.90076,17.0229,9.740458,-35.88,-151.8,30.36
0.2087402,0.5166016,-0.8747559,7.648855,21.61069,-0.5267176,-35.88,-151.8,30.36
0.2180176,0.4389648,-0.7675781,-4.091603,-11.62595,0.5801527,-35.88,-151.8,30.36
0.420166,0.392334,-0.8225098,-9.931297,-15.41985,9.374045,-36.8,-151.8,30.36
0.4794922,0.3789063,-0.934082,17.48855,17.41221,-3.687023,-36.8,-151.8,30.36
0.3039551,0.5068359,-0.854248,23.15267,28.79389,8.099236,-36.8,-151.8,30.36
0.2229004,0.5471191,-0.8237305,0.09923664,10.21374,3.526718,-38.64,-150.88,28.52
0.3691406,0.3549805,-0.8552246,-8.633588,7.114504,-10.58779,-37.72,-150.88,30.36
0.3291016,0.3857422,-0.7922363,12.82443,-0.2748091,-0.03053435,-37.72,-150.88,30.36
0.4221191,0.4641113,-0.8149414,11.40458,0.5496183,3.709924,-37.72,-150.88,30.36
0.3886719,0.4772949,-0.8137207,-3.610687,26.79389,-4.51145,-36.8,-150.88,29.44
0.215332,0.4199219,-0.8215332,-5.053435,19.0229,-0.3282443,-36.8,-150.88,29.44
0.2766113,0.3413086,-0.8256836,6.862596,-11.0687,-2.89313,-38.64,-150.88,30.36
