ax,ay,az,gx,gy,gz,mx,my,mz
0.3691406,0.3271484,-0.9589844,7.572519,10.92366,-11.94656,-34.04,-155.48,6.44
0.267334,0.3681641,-0.8496094,11.73282,13.48855,-6.534351,-34.04,-155.48,6.44
0.2626953,0.4091797,-0.8759766,7.709924,-4.167939,1.305344,-33.12,-156.4,5.52
0.3295898,0.3762207,-0.8234863,-7.305344,-8.946565,15.06107,-33.12,-156.4,5.52
0.3781738,0.3376465,-0.9169922,-2.793893,12.92366,-5.282443,-33.12,-156.4,5.52
0.2683105,0.3632813,-0.8742676,0.7328244,14.9542,-0.5496183,-33.12,-156.4,5.52
0.2248535,0.3425293,-0.8618164,-5.152672,1.916031,3.725191,-33.12,-156.4,5.52
0.3193359,0.3151855,-0.9221191,5.755725,-2.015267,4.946565,-34.04,-155.48,7.36
0.3044434,0.3647461,-0.8754883,11.83969,4.877862,-2.908397,-34.04,-155.48,7.36
0.3063965,0.3847656,-0.8244629,7.442748,-4.099236,4.633588,-34.04,-156.4,6.44
0.3747559,0.4033203,-0.9145508,-2.839695,6.908397,1.984733,-34.04,-156.4,6.44
0.2954102,0.3789063,-0.857666,-7.038168,15.45802,-2.419847,-34.04,-156.4,6.44
0.2485352,0.3496094,-0.878418,-9.709924,4.89313,-0.2137404,-34.04,-155.48,7.36
0.3085938,0.3093262,-0.9091797,2.496183,-2.251908,-2.045802,-34.04,-155.48,7.36
0.3449707,0.3647461,-0.8776855,9.59542,3.229008,0.7022901,-34.04,-155.48,7.36
0.2988281,0.4008789,-0.855957,-3.938931,8.152672,0.5267176,-34.04,-155.48,7.36
0.267334,0.3554688,-0.8552246,-4.442748,1.206107,4.748092,-34.04,-155.48,7.36
0.3217773,0.3498535,-0.9001465,-0.2748091,-1.045802,-0.07633588,-34.04,-155.48,7.36
0.3381348,0.3234863,-0.8513184,5.282443,2.564885,4.633588,-34.04,-155.48,7.36
0.3154297,0.3811035,-0.8461914,4.312977,5.08397,4.793893,-34.04,-155.48,7.36
0.309082,0.395752,-0.8996582,-1.48855,10.69466,-4.633588,-34.04,-155.48,7.36
0.2976074,0.3515625,-0.8649902,-5.725191,5.038168,5.770992,-34.04,-155.48,7.36
0.3000488,0.3266602,-0.8972168,-0.3969466,6.587786,3.946565,-34.04,-155.48,7.36
0.28125,0.342041,-0.8806152,9.274809,2.458015,3.732824,-34.96,-155.48,9.2
0.2915039,0.4160156,-0.8635254,9.572519,-1.503817,2.503817,-34.96,-155.48,9.2
0.3496094,0.4204102,-0.862793,-4.793893,1.251908,0.08396947,-34.04,-155.48,8.28
0.3186035,0.3520508,-0.892334,-10.38168,11.35114,1.381679,-34.04,-155.48,8.28
0.2885742,0.3137207,-0.8415527,0.7938931,3.099237,3.847328,-34.04,-155.48,8.28
0.3391113,0.3146973,-0.8508301,8.755725,-1.778626,7.89313,-34.96,-155.48,10.12
0.345459,0.4020996,-0.8879395,9.366412,12.60305,-1.061069,-34.96,-155.48,10.12
0.2458496,0.4345703,-0.8752441,-6.396946,8.870229,-3.335878,-34.96,-155.48,10.12
0.2678223,0.348877,-0.8564453,-7.328244,-6.076336,2.328244,-34.96,-154.56,9.2
0.3742676,0.2866211,-0.847168,3.183206,-4.251908,4.053435,-34.96,-154.56,9.2
0.3679199,0.3552246,-0.9003906,9.961832,17.0458,-6.236641,-34.04,-155.48,9.2
0.2338867,0.4172363,-0.8652344,4.679389,9.679389,-1.664122,-34.04,-155.48,9.2
0.2468262,0.3896484,-0.8508301,-4.29771,-7.167939,5.068702,-34.04,-155.48,9.2
0.3562012,0.3352051,-0.869873,-3.221374,-5.580153,0.8931297,-34.04,-155.48,9.2
0.3789063,0.3266602,-0.8771973,6.328244,7.061069,-1.290076,-34.04,-155.48,9.2
0.2919922,0.4125977,-0.8884277,8.175572,17.78626,-5.610687,-34.04,-155.48,9.2
0.2202148,0.4111328,-0.861084,-5.923664,2.061069,0.1526718,-34.96,-155.48,9.2
0.2949219,0.3337402,-0.8757324,-2.48855,-8.442748,1.450382,-34.96,-155.48,9.2
0.3840332,0.3288574,-0.8771973,8.320611,-1.259542,-0.5877862,-34.96,-155.48,9.2
0.3562012,0.3796387,-0.8691406,9.801527,15.06107,-2.442748,-33.12,-155.48,9.2
0.2529297,0.4157715,-0.8374023,-1.51145,11.77863,2.969466,-33.12,-155.48,9.2
0.2646484,0.371582,-0.8703613,-10.73282,-1.259542,0.7557252,-34.04,-155.48,8.28
0.3347168,0.2932129,-0.8818359,-2.244275,-0.4961832,-1.946565,-34.04,-155.48,8.28
0.3325195,0.3249512,-0.8740234,11.31298,6.89313,-1.465649,-34.04,-155.48,8.28
0.3044434,0.40625,-0.8579102,11.77863,4.541985,0.3664122,-33.12,-155.48,9.2
0.2995605,0.4282227,-0.8632813,-2.160305,7.877862,0.7328244,-33.12,-155.48,9.2
