ax,ay,az,gx,gy,gz,mx,my,mz
-0.9406738,0.1196289,-0.4577637,-13.05344,9.221375,0.1984733,128.8,-61.64,-34.04
-1.018066,0.1069336,-0.4299316,-1.770992,13.74809,-7.099236,128.8,-61.64,-34.04
-1.035645,0.1623535,-0.3835449,-26.38168,15.24428,-3.290076,127.88,-61.64,-33.12
-0.9614258,0.07714844,-0.442627,-6.274809,-4.435114,2.167939,127.88,-61.64,-33.12
-0.907959,0.08422852,-0.472168,20.30534,5.091603,-2.328244,127.88,-61.64,-33.12
-0.9558105,0.1621094,-0.3154297,27.19084,-3.206107,11.29008,127.88,-60.72,-33.12
-0.8642578,0.3088379,-0.4228516,21.66412,-17.23664,11.81679,127.88,-60.72,-33.12
-0.7817383,0.3132324,-0.2922363,1.839695,-6.374046,4.503817,127.88,-60.72,-33.12
-0.753418,0.2946777,-0.3769531,-10.93893,12.16031,3.671756,127.88,-62.56,-33.12
-0.8635254,0.2314453,-0.3818359,-16.80916,29.05343,-6.267176,127.88,-62.56,-33.12
-0.9858398,0.1787109,-0.4228516,-14.67939,21.41985,-6.412214,127.88,-61.64,-33.12
-0.986084,0.1430664,-0.442627,-8.38168,0.2213741,-1.206107,127.88,-61.64,-33.12
-0.9677734,0.1367188,-0.4926758,-2.961832,6.435114,-5.419847,127.88,-61.64,-33.12
-0.9509277,0.1237793,-0.3618164,9.702291,-13.45038,6.496183,127.88,-61.64,-33.12
-0.8342285,0.1901855,-0.3669434,20.61069,-15.41221,6.19084,127.88,-61.64,-33.12
-0.7675781,0.2478027,-0.2424316,19.09924,-10.64122,6.351145,127.88,-61.64,-33.12
-0.7106934,0.3500977,-0.3339844,10.35114,11.39695,5.099236,127.88,-61.64,-34.04
-0.8637695,0.3359375,-0.4025879,-23.70992,43.51908,-11.03817,127.88,-61.64,-34.04
-1.036621,0.1855469,-0.3642578,-31.51908,17.86259,-5.587786,126.96,-62.56,-32.2
-0.9926758,0.08496094,-0.5371094,-16.86259,4.748092,-6.022901,126.96,-62.56,-32.2
-0.994873,0.05078125,-0.4526367,6.496183,-0.4274809,-1.053435,126.96,-62.56,-32.2
-0.90625,0.1257324,-0.3881836,39.16031,-19.54198,12.14504,127.88,-61.64,-33.12
-0.7971191,0.2727051,-0.3139648,36.53435,-15.0687,6.366412,127.88,-61.64,-33.12
-0.7197266,0.3930664,-0.2561035,14.79389,-7.152672,12.51145,127.88,-61.64,-33.12
