ax,ay,az,gx,gy,gz,mx,my,mz
-0.9802246,0.166748,-0.2492676,15.08397,0.4580153,0.6793893,126.96,-47.84,-51.52
-0.934082,0.2329102,-0.2502441,5.167939,-4.89313,4.458015,126.96,-47.84,-51.52
-0.885498,0.2314453,-0.2851563,19.13741,-5.625954,1.679389,126.96,-47.84,-52.44
-0.8813477,0.2861328,-0.234375,2.572519,10.64122,0.9541985,126.96,-47.84,-52.44
-0.9453125,0.2661133,-0.2739258,-29.30534,15.91603,1.824428,126.96,-47.84,-52.44
-0.9731445,0.125,-0.3144531,-31.33588,8.977099,1.732824,126.96,-47.84,-52.44
-0.9577637,0.05224609,-0.3408203,4.29771,2.59542,-2.656489,126.96,-47.84,-52.44
-0.9487305,0.1467285,-0.2963867,32.74809,-2.633588,-0.08396947,126.96,-47.84,-52.44
-0.9182129,0.3156738,-0.2790527,21.47328,-0.778626,-0.03816794,126.96,-48.76,-52.44
-0.9035645,0.3164063,-0.2397461,-13.51145,0.3282443,-4.38168,126.96,-48.76,-52.44
-0.9223633,0.1950684,-0.3244629,-30.38931,12.58779,-7.21374,126.96,-48.76,-52.44
-0.9594727,0.06835938,-0.2890625,-5.175572,6.320611,-3.351145,126.96,-47.84,-53.36
-0.9794922,0.1010742,-0.2724609,12.72519,3.679389,4.412214,126.96,-47.84,-53.36
-0.9619141,0.1791992,-0.2856445,21.05343,-5.145038,6.679389,126.96,-47.84,-53.36
-0.8930664,0.269043,-0.2597656,18.12214,-9.38168,3.221374,126.96,-48.76,-51.52
-0.8474121,0.3032227,-0.2619629,-0.870229,7.335878,-3.160305,126.96,-48.76,-51.52
-0.9257813,0.2412109,-0.2502441,-21.29008,21.32825,-3.167939,126.96,-48.76,-51.52
-0.9997559,0.1472168,-0.3181152,-24.35114,12.96947,-1.740458,126.96,-48.76,-51.52
-0.9919434,0.0847168,-0.3132324,-1.854962,-0.8396947,-3.59542,126.96,-48.76,-51.52
-0.9428711,0.1098633,-0.2785645,20.0687,-7.51145,1.152672,126.96,-47.84,-52.44
-0.8974609,0.2097168,-0.2485352,24.38168,-7.358778,3.580153,126.96,-47.84,-52.44
-0.8840332,0.2729492,-0.25,11.84733,2.503817,0.5801527,126.96,-47.84,-52.44
