ax,ay,az,gx,gy,gz,mx,my,mz
0.4667969,0.3581543,-0.8300781,13.16794,-5.282443,8.061069,-88.32,-111.32,-114.08
0.4645996,0.3547363,-0.8984375,-7.167939,17.78626,3.877863,-88.32,-110.4,-114.08
0.3903809,0.3352051,-0.8666992,-7.755725,-3.122137,0.4961832,-88.32,-110.4,-114.08
0.423584,0.2788086,-0.8691406,-5.770992,1.59542,-0.1145038,-88.32,-111.32,-114.08
0.4165039,0.2631836,-0.8200684,12.19847,-11.92366,8.122137,-88.32,-111.32,-114.08
0.4370117,0.3571777,-0.8508301,24.0687,10.28244,8.633588,-88.32,-111.32,-114.08
0.3823242,0.4145508,-0.8405762,8.312977,9.465649,3.198473,-87.4,-110.4,-115.0
0.3652344,0.4121094,-0.9013672,-10.00763,7.274809,-1.610687,-87.4,-110.4,-115.0
0.3508301,0.3088379,-0.8532715,-16.62595,1.89313,-1.274809,-87.4,-111.32,-114.08
0.4084473,0.2331543,-0.8596191,-8.763359,-5.839694,-0.6870229,-87.4,-111.32,-114.08
0.4599609,0.2624512,-0.8786621,13.35878,4.709924,0.7862596,-87.4,-111.32,-114.08
0.3837891,0.364502,-0.8562012,18.10687,13.03053,-0.8778625,-87.4,-112.24,-114.08
0.3366699,0.3994141,-0.8493652,-2.40458,3.076336,-0.2977099,-87.4,-112.24,-114.08
0.402832,0.3352051,-0.8349609,-6.274809,-8.236641,1.832061,-87.4,-112.24,-114.08
0.4699707,0.3337402,-0.8847656,-2.931298,9.458015,-1.244275,-87.4,-111.32,-114.08
0.3845215,0.3066406,-0.8723145,-7.328244,15.81679,0.1068702,-87.4,-111.32,-114.08
0.3249512,0.2661133,-0.8623047,2.656489,4.656488,5.328244,-87.4,-111.32,-114.08
0.3703613,0.2995605,-0.8303223,15.17557,-7.51145,8.610687,-87.4,-112.24,-114.08
0.4558105,0.4304199,-0.8532715,13.64122,-1.717557,3.572519,-87.4,-112.24,-114.08
0.4416504,0.4038086,-0.8613281,-12.63359,13.75572,-5.877862,-87.4,-111.32,-115.0
0.3547363,0.2646484,-0.8193359,-13.80916,6.198473,-1.801527,-87.4,-111.32,-115.0
0.3833008,0.2888184,-0.8713379,12.60305,-1.137405,1.564886,-87.4,-111.32,-115.0
0.4042969,0.3789063,-0.8615723,12.25191,4.793893,-2.687023,-87.4,-111.32,-114.08
0.3857422,0.3649902,-0.8515625,-7.366412,3.366412,-4.091603,-87.4,-111.32,-114.08
0.401123,0.2585449,-0.8393555,-10.72519,0.7175572,0.5572519,-87.4,-111.32,-114.08
0.4245605,0.2797852,-0.8569336,10.07634,4.832061,2.412214,-87.4,-112.24,-114.08
0.3972168,0.3583984,-0.8669434,7.664122,9.259542,0.06870229,-87.4,-112.24,-114.08
0.3713379,0.3293457,-0.8249512,0.8473283,1.366412,2.244275,-87.4,-111.32,-114.08
0.4267578,0.3342285,-0.8483887,10.22901,-0.09160305,2.442748,-87.4,-111.32,-114.08
0.4431152,0.3952637,-0.8662109,0.1374046,10.54198,-0.5572519,-87.4,-111.32,-114.08
0.3354492,0.3239746,-0.8674316,-19.58015,15.70992,-2.648855,-88.32,-111.32,-114.08
0.3308105,0.197998,-0.8232422,-3.740458,-6.656488,1.022901,-88.32,-111.32,-114.08
0.4897461,0.2648926,-0.847168,25.46565,-10.0687,9.312977,-88.32,-111.32,-114.08
0.5007324,0.456543,-0.8706055,21.80916,21.46565,2.984733,-86.48,-112.24,-114.08
0.2963867,0.4345703,-0.8527832,-18.55725,20.05343,-0.9541985,-86.48,-112.24,-114.08
0.3122559,0.2617188,-0.8725586,-13.76336,-14.00763,3.351145,-87.4,-111.32,-114.08
0.5012207,0.2844238,-0.8837891,7.29771,-6.007634,0.05343511,-87.4,-111.32,-114.08
0.472168,0.3500977,-0.8632813,12.34351,19.9771,-4.099236,-87.4,-111.32,-114.08
0.3220215,0.3574219,-0.848877,-4.435114,12.64886,-0.9083969,-87.4,-111.32,-114.08
0.3381348,0.3000488,-0.8464355,-6.694656,-10.14504,1.618321,-87.4,-111.32,-114.08
0.4675293,0.2944336,-0.8671875,6.175572,-4.664122,-0.1221374,-87.4,-111.32,-114.08
0.4389648,0.3239746,-0.8461914,10.8626,14.51145,0.7709923,-86.48,-111.32,-114.08
0.3364258,0.3535156,-0.8491211,2.992366,9.297709,-0.4656488,-86.48,-111.32,-114.08
0.3730469,0.3535156,-0.8540039,-3.641221,-8.022901,0.6641222,-87.4,-111.32,-115.0
0.4604492,0.2905273,-0.8525391,-4.648855,0.9694656,1.496183,-87.4,-111.32,-115.0
0.3972168,0.2834473,-0.8522949,0.648855,14.94656,-1.839695,-87.4,-111.32,-115.0
0.338623,0.3144531,-0.8520508,11.48855,4.885496,2.534351,-87.4,-112.24,-115.0
0.4104004,0.3476563,-0.8664551,6.137404,-7.08397,6.038168,-87.4,-112.24,-115.0
0.4726563,0.3349609,-0.8615723,-5.38168,1.908397,-0.3053435,-87.4,-112.24,-115.0
0.3955078,0.2961426,-0.8833008,-0.740458,17.70992,-6.19084,-87.4,-111.32,-114.08
0.3132324,0.2912598,-0.8203125,13.26718,4.022901,1.267176,-87.4,-111.32,-114.08
0.4399414,0.3283691,-0.8623047,-5.015267,7.48855,3.129771,-87.4,-110.4,-115.0
