ax,ay,az,gx,gy,gz,mx,my,mz
-0.05273438,0.5756836,-0.7900391,1.480916,15.1145,4.061069,19.32,-150.88,11.04
-0.07519531,0.592041,-0.8349609,1.152672,9.167939,2.19084,17.48,-150.88,11.96
0.08911133,0.6230469,-0.7587891,22.8855,-18.67175,9.297709,18.4,-150.88,14.72
0.03417969,0.7387695,-0.7851563,11.51145,12.75572,-10.47328,18.4,-150.88,14.72
-0.05859375,0.65625,-0.722168,-25.60305,13.57252,-14.23664,17.48,-151.8,13.8
0.04980469,0.4755859,-0.854248,-15.35114,12.05344,-29.64886,17.48,-151.8,13.8
0.1132813,0.5739746,-0.8913574,-1.526718,60.0,-30.79389,17.48,-151.8,13.8
-0.08959961,0.6564941,-0.9309082,-24.22901,91.51908,-42.59542,20.24,-150.88,11.04
-0.3413086,0.5939941,-0.8322754,-37.47328,36.91603,-48.32824,20.24,-150.88,11.04
-0.2739258,0.4863281,-0.8266602,-32.23664,-1.51145,-65.99236,20.24,-150.88,11.04
0.04614258,0.4694824,-0.824707,-2.59542,-2.572519,-45.84733,21.16,-151.8,9.2
0.1259766,0.5712891,-0.7119141,13.22137,37.64885,-37.03053,21.16,-151.8,9.2
-0.01147461,0.7163086,-0.7253418,2.244275,52.08397,-30.08397,23.92,-151.8,3.68
-0.06811523,0.6818848,-0.7719727,-13.38931,50.65649,-52.84733,23.92,-151.8,3.68
-0.001464844,0.7121582,-0.8425293,-29.24427,55.74809,-58.86259,23.92,-151.8,3.68
-0.03955078,0.5441895,-0.8383789,-25.89313,62.35115,-48.0,23.92,-152.72,-1.84
-0.1176758,0.5541992,-0.854248,-15.00763,63.20611,-49.41985,23.92,-152.72,-1.84
-0.1279297,0.5895996,-0.8234863,-11.38168,55.45038,-40.79389,23.92,-152.72,-1.84
-0.1696777,0.6188965,-0.723877,-13.65649,36.60305,-25.35878,23.0,-153.64,-6.44
-0.08422852,0.6118164,-0.7751465,-18.09924,33.48855,-36.53435,23.0,-153.64,-6.44
-0.03759766,0.4880371,-0.7434082,-12.25954,22.0687,-34.66412,23.0,-154.56,-10.12
0.1130371,0.5205078,-0.7231445,16.44275,30.24427,-37.28244,23.0,-154.56,-10.12
0.09985352,0.7331543,-0.8725586,0.7480916,78.41985,-51.48855,23.0,-154.56,-10.12
-0.1462402,0.7145996,-0.8515625,-8.290076,86.60305,-65.94656,21.16,-154.56,-18.4
-0.2783203,0.5739746,-0.7810059,-1.618321,43.53435,-80.39695,21.16,-154.56,-18.4
0.004150391,0.6569824,-0.6210938,17.05343,7.732824,-71.00764,21.16,-154.56,-18.4
0.2683105,0.6791992,-0.7233887,-20.06107,39.59542,-35.1145,22.08,-155.48,-29.44
0.08911133,0.6203613,-0.8183594,-23.8855,89.44275,-50.55725,22.08,-155.48,-29.44
-0.1555176,0.4824219,-0.7473145,6.862596,83.40458,-47.70229,17.48,-155.48,-34.04
-0.1584473,0.7453613,-0.8737793,16.13741,61.22137,-62.32061,17.48,-155.48,-34.04
-0.1833496,0.7626953,-0.8044434,-5.534351,35.27481,-50.38931,17.48,-155.48,-34.04
-0.1772461,0.657959,-0.8251953,-39.51908,4.89313,-45.8168,14.72,-155.48,-42.32
0.1450195,0.3708496,-0.5095215,-4.053435,-23.53435,-21.00763,14.72,-155.48,-42.32
0.4499512,0.612793,-0.8041992,1.709924,53.85496,-19.92366,14.72,-155.48,-42.32
0.1115723,0.6611328,-0.8342285,-2.534351,133.7176,-40.19084,16.56,-154.56,-46.92
-0.1469727,0.3601074,-0.673584,-9.557252,73.41985,-26.46565,16.56,-154.56,-46.92
-0.2416992,0.7124023,-1.052734,76.50381,79.87023,-53.00763,7.36,-154.56,-53.36
-0.07592773,0.8410645,-0.5922852,48.79389,-1.717557,-27.66412,7.36,-154.56,-53.36
0.1730957,0.8188477,-0.645752,-46.1832,35.71756,-131.4275,7.36,-154.56,-53.36
0.3605957,0.7402344,-0.7565918,-41.03053,98.64886,-50.30534,-0.92,-153.64,-61.64
0.03613281,0.388916,-0.7099609,-35.64122,120.7939,-32.83969,-0.92,-153.64,-61.64
-0.1049805,0.5424805,-0.9707031,3.465649,103.5115,-44.70229,-0.92,-153.64,-61.64
-0.192627,0.5085449,-0.9003906,-0.6335878,61.0687,-43.92366,-11.96,-153.64,-60.72
0.07177734,0.3762207,-0.7331543,42.94656,-0.1374046,-41.27481,-11.96,-153.64,-60.72
0.2446289,0.4868164,-0.9169922,68.13741,47.69466,-11.52672,-11.96,-153.64,-60.72
0.08398438,0.833252,-0.7907715,15.64122,77.52672,-35.38931,-18.4,-150.88,-69.92
-0.1025391,0.7050781,-0.8579102,13.0,44.13741,-19.01527,-18.4,-150.88,-69.92
-0.03173828,0.5688477,-0.7072754,-5.290076,7.274809,-29.94657,-25.76,-149.04,-72.68
0.2319336,0.5678711,-0.7766113,3.923664,10.28244,-36.32061,-25.76,-149.04,-72.68
0.260498,0.6010742,-0.8305664,14.83969,48.06107,-35.06107,-25.76,-149.04,-72.68
0.1079102,0.5803223,-0.8029785,-11.43511,59.49618,-26.41985,-27.6,-148.12,-77.28
-0.02294922,0.5327148,-0.8703613,39.49618,15.83969,-12.80916,-33.12,-146.28,-77.28
0.05517578,0.6074219,-0.7558594,49.57252,2.198473,-20.0916,-33.12,-146.28,-77.28
0.09716797,0.7900391,-0.8742676,26.38931,18.77863,-15.28244,-33.12,-146.28,-77.28
0.01171875,0.576416,-0.7902832,-11.89313,-1.78626,-18.92366,-35.88,-143.52,-85.56001
0.1252441,0.3659668,-0.8061523,18.15267,3.580153,-18.9542,-35.88,-143.52,-85.56001
0.1308594,0.4152832,-0.7858887,40.22137,13.98473,-15.90076,-34.04,-142.6,-88.32
0.1582031,0.5058594,-0.8374023,53.0229,18.63359,-20.81679,-34.04,-142.6,-88.32
0.08447266,0.6286621,-0.8029785,52.38168,28.72519,-6.725191,-34.04,-142.6,-88.32
0.08691406,0.8508301,-0.8569336,53.05344,8.557252,-6.175572,-36.8,-138.92,-94.76
-0.0769043,0.8210449,-0.8039551,-41.78626,7.572519,-10.1374,-36.8,-138.92,-94.76
0.04052734,0.5622559,-0.8652344,-81.1832,-45.85496,-14.46565,-36.8,-138.92,-94.76
0.3376465,0.2866211,-0.9489746,-23.64122,-19.85496,-24.87786,-35.88,-140.76,-92.92
0.1850586,0.3295898,-0.8881836,31.25191,33.85496,-2.671756,-35.88,-140.76,-92.92
-0.01269531,0.4770508,-0.8908691,37.80153,19.9771,-5.312977,-34.04,-140.76,-93.84
-0.01074219,0.5390625,-0.7905273,49.30534,-6.656488,-8.572519,-34.04,-140.76,-93.84
0.08081055,0.6953125,-0.8286133,20.9542,-13.65649,-12.45802,-34.04,-140.76,-93.84
0.2492676,0.5554199,-0.7287598,-29.29771,4.312977,7.251908,-34.96,-138.0,-99.36
0.2336426,0.3439941,-0.7419434,-12.28244,47.38168,13.50382,-34.96,-138.0,-99.36
-0.01782227,0.4746094,-0.8601074,40.29771,60.74046,1.603053,-34.96,-138.0,-99.36
-0.09008789,0.5969238,-0.767334,24.10687,6.290076,5.923664,-38.64,-138.0,-96.6
0.1896973,0.5671387,-0.9003906,-16.70229,-14.93893,-1.442748,-38.64,-138.0,-96.6
0.3005371,0.3642578,-0.9211426,-0.7328244,25.98473,-1.053435,-39.56,-138.0,-98.44
0.1989746,0.3725586,-0.8632813,38.73283,46.59542,6.832061,-39.56,-138.0,-98.44
-0.02905273,0.6384277,-0.9348145,31.12977,47.77863,14.03053,-39.56,-138.0,-98.44
0.08203125,0.6633301,-0.717041,14.87786,-4.694656,9.664123,-45.08,-136.16,-99.36
0.2263184,0.5554199,-0.8745117,-12.67939,28.20611,-17.16794,-45.08,-136.16,-99.36
0.07861328,0.4814453,-0.8295898,4.129771,25.51145,-8.717557,-45.08,-136.16,-99.36
0.03027344,0.4785156,-0.9130859,6.580153,5.221374,-3.824427,-47.84,-134.32,-100.28
0.09619141,0.4978027,-0.838623,23.64886,-12.48092,-14.19084,-47.84,-134.32,-100.28
0.2429199,0.5283203,-0.8312988,6.183206,-12.09924,-8.129771,-46.92,-133.4,-103.04
0.2578125,0.4560547,-0.876709,1.419847,13.92366,-2.717557,-46.92,-133.4,-103.04
0.1132813,0.4609375,-0.8078613,29.86259,29.41221,-1.984733,-46.92,-133.4,-103.04
0.01269531,0.6711426,-0.8276367,20.10687,10.80153,-3.687023,-47.84,-132.48,-103.96
0.1291504,0.59375,-0.8188477,-19.90076,-12.8855,-24.80916,-47.84,-132.48,-103.96
0.269043,0.2963867,-0.833252,-23.03817,-1.290076,-20.68702,-47.84,-132.48,-103.96
0.2578125,0.3691406,-0.9204102,14.32824,41.66412,-17.39695,-47.84,-132.48,-104.88
0.1047363,0.3928223,-0.8098145,45.78626,37.9771,-16.53435,-47.84,-132.48,-104.88
0.07788086,0.4211426,-0.9177246,35.43512,42.35878,-61.53435,-51.52,-129.72,-108.56
0.0002441406,0.4772949,-0.9482422,49.70992,12.90076,-28.52672,-51.52,-129.72,-108.56
0.1452637,0.6240234,-0.8237305,26.50382,-10.57252,-2.091603,-51.52,-129.72,-108.56
0.3991699,0.5710449,-0.7866211,-16.9771,-8.320611,-10.49618,-53.36,-126.04,-114.08
0.3347168,0.357666,-0.9689941,-10.60305,49.45038,-12.79389,-53.36,-126.04,-114.08
0.03857422,0.3432617,-0.9416504,19.76336,54.61832,-18.0,-53.36,-126.04,-114.08
-0.007324219,0.4538574,-0.9277344,21.58779,14.0,-10.12214,-55.2,-126.04,-113.16
0.1279297,0.458252,-0.8681641,26.71756,-12.39695,-2.068702,-55.2,-126.04,-113.16
0.2888184,0.4638672,-0.8449707,2.091603,-13.29771,0.4351145,-55.2,-126.04,-113.16
0.3686523,0.4511719,-0.9943848,-7.679389,37.47328,-18.03817,-57.04,-122.36,-115.92
0.06079102,0.3564453,-0.8395996,18.38168,53.56488,-9.916031,-57.04,-122.36,-115.92
-0.1052246,0.5,-0.8833008,12.52672,12.78626,2.610687,-59.8,-121.44,-115.92
0.1525879,0.4697266,-0.8703613,-7.832061,-34.99237,-18.45038,-59.8,-121.44,-115.92
0.394043,0.2646484,-0.8312988,-21.44275,-5.312977,-3.70229,-59.8,-121.44,-115.92
0.07226563,0.5307617,-0.8708496,12.25191,-2.007634,13.54198,-57.96,-122.36,-115.92
