ax,ay,az,gx,gy,gz,mx,my,mz
-0.6606445,-0.2783203,-0.7382813,30.30534,15.40458,-1.610687,108.56,-110.4,-8.28
-0.638916,-0.2998047,-0.7556152,47.34351,29.9313,-7.603054,108.56,-110.4,-8.28
-0.5644531,-0.265625,-0.8720703,35.62595,26.47328,32.64122,111.32,-109.48,-14.72
-0.5622559,-0.2561035,-0.8669434,34.67939,21.54962,41.96183,108.56,-112.24,-14.72
-0.5532227,-0.2536621,-0.9050293,25.16031,17.40458,45.63359,108.56,-112.24,-14.72
-0.5119629,-0.2973633,-0.9416504,25.03053,19.68702,48.99237,106.72,-114.08,-12.88
-0.4748535,-0.2770996,-0.9519043,21.83206,19.16794,38.86259,106.72,-114.08,-12.88
-0.5061035,-0.2614746,-0.9450684,3.801527,0.03053435,43.45802,106.72,-114.08,-12.88
-0.5256348,-0.2053223,-0.972168,-10.0916,-10.8626,55.0916,103.04,-117.76,-9.2
-0.513916,-0.2329102,-0.9782715,-13.98473,-13.33588,57.73283,103.04,-117.76,-9.2
-0.5107422,-0.1811523,-0.9914551,-14.71756,-16.31298,46.52672,103.04,-117.76,-9.2
-0.5441895,-0.1323242,-1.018555,-21.16031,-12.22901,42.74046,98.44,-119.6,0.0
-0.588623,-0.07617188,-1.012695,-32.87786,-13.38931,47.96947,98.44,-119.6,0.0
-0.5812988,-0.05883789,-0.9919434,-36.64885,-24.12977,60.26717,95.68,-120.52,9.2
-0.5480957,-0.06274414,-0.9963379,-38.32824,-27.16794,62.87023,95.68,-120.52,9.2
-0.5048828,-0.08520508,-0.9824219,-40.10687,-26.0687,57.80153,95.68,-120.52,9.2
-0.5092773,-0.06201172,-0.9414063,-43.54198,-27.13741,49.16031,90.16,-119.6,20.24
-0.4816895,-0.03027344,-0.9313965,-45.27481,-25.80153,53.80153,90.16,-119.6,20.24
-0.456543,-0.07666016,-0.9069824,-48.26717,-24.56489,44.70229,90.16,-119.6,20.24
-0.4443359,-0.05273438,-0.8911133,-52.9771,-27.56489,27.83206,87.4,-116.84,30.36
-0.4597168,-0.03442383,-0.8769531,-61.32824,-21.54198,16.50382,87.4,-116.84,30.36
-0.4680176,-0.01391602,-0.8310547,-56.86259,-12.09924,7.664122,87.4,-116.84,30.36
-0.4675293,-0.005126953,-0.7854004,-47.72519,-12.18321,0.2977099,84.64,-114.08,36.8
-0.4746094,-0.01049805,-0.7792969,-46.37405,-7.572519,-2.78626,84.64,-114.08,36.8
-0.480957,-0.02099609,-0.769043,-54.16794,-4.29771,-14.67176,85.56001,-110.4,39.56
-0.4648438,-0.03662109,-0.7089844,-53.98473,5.656488,-20.29771,85.56001,-110.4,39.56
