ax,ay,az,gx,gy,gz,mx,my,mz
0.6252441,0.7226563,-0.2519531,22.80153,27.65649,24.87786,-40.48,-57.04,-151.8
0.6083984,0.7331543,-0.2697754,19.67175,17.46565,30.66412,-40.48,-57.04,-151.8
0.6137695,0.7927246,-0.3012695,20.13741,27.03053,20.92366,-33.12,-52.44,-151.8
0.6071777,0.8586426,-0.3354492,12.18321,22.28244,16.76336,-33.12,-52.44,-151.8
0.5905762,0.8552246,-0.3605957,6.229008,16.23664,12.31298,-31.28,-49.68,-150.88
0.5720215,0.8674316,-0.3647461,6.175572,10.10687,6.656488,-31.28,-49.68,-150.88
0.559082,0.8620605,-0.3620605,5.015267,3.610687,0.4351145,-31.28,-49.68,-150.88
0.5566406,0.845459,-0.3430176,-4.389313,-4.450382,-2.938931,-31.28,-48.76,-151.8
0.5476074,0.8532715,-0.3112793,-14.83969,-12.1145,-6.427481,-31.28,-48.76,-151.8
0.5444336,0.8547363,-0.2902832,-16.07634,-15.10687,-10.43511,-31.28,-48.76,-151.8
0.5576172,0.8574219,-0.2624512,-15.62595,-13.81679,-15.53435,-33.12,-49.68,-150.88
0.5874023,0.8308105,-0.2939453,-12.54962,-9.19084,-19.60305,-33.12,-49.68,-150.88
0.6174316,0.8127441,-0.328125,-13.54962,-11.09924,-21.48855,-33.12,-49.68,-150.88
0.6547852,0.8266602,-0.3271484,-23.03817,-14.36641,-21.84733,-35.88,-52.44,-151.8
0.6738281,0.8635254,-0.3071289,-27.70992,-19.07634,-23.37405,-35.88,-52.44,-151.8
0.6955566,0.8752441,-0.2775879,-27.72519,-20.33588,-30.0,-40.48,-53.36,-151.8
0.7023926,0.828125,-0.2961426,-16.12214,-15.83969,-35.55725,-40.48,-53.36,-151.8
0.7155762,0.7902832,-0.2980957,-11.34351,-19.36641,-39.83969,-40.48,-53.36,-151.8
0.7167969,0.737793,-0.2614746,-13.54198,-22.9084,-42.63359,-46.92,-56.12,-152.72
0.7199707,0.6943359,-0.2177734,-17.45802,-26.70992,-42.73283,-46.92,-56.12,-152.72
0.7219238,0.6726074,-0.1706543,-11.22901,-23.27481,-41.58015,-46.92,-56.12,-152.72
0.7312012,0.6325684,-0.1435547,-9.106871,-18.22137,-39.31298,-53.36,-61.64,-151.8
0.7490234,0.5910645,-0.1386719,-8.053435,-10.46565,-35.1832,-53.36,-61.64,-151.8
0.7390137,0.5534668,-0.1760254,-2.40458,-3.244275,-28.51145,-57.96,-66.24,-150.88
0.75,0.5654297,-0.1772461,2.40458,1.984733,-20.52672,-57.96,-66.24,-150.88
0.7495117,0.5732422,-0.1918945,4.274809,5.442748,-18.68702,-57.96,-66.24,-150.88
0.7331543,0.5537109,-0.2023926,8.068703,8.19084,-12.51145,-59.8,-68.08,-150.88
0.7121582,0.5751953,-0.2045898,11.03817,5.160306,-6.160306,-59.8,-68.08,-150.88
0.7160645,0.5810547,-0.1826172,17.58779,9.297709,-1.679389,-59.8,-68.08,-150.88
0.7194824,0.5847168,-0.1650391,15.35878,16.36641,1.099237,-58.88,-68.08,-150.88
0.723877,0.6403809,-0.1804199,14.03817,20.36641,5.366412,-58.88,-68.08,-150.88
0.7172852,0.6875,-0.1838379,23.1145,26.65649,8.480916,-56.12,-68.08,-151.8
0.7089844,0.6782227,-0.2631836,35.52672,31.32825,13.84733,-56.12,-68.08,-151.8
0.6716309,0.690918,-0.2912598,28.43511,17.9313,22.46565,-56.12,-68.08,-151.8
0.6569824,0.8032227,-0.2285156,3.305344,5.687023,23.26718,-50.6,-65.32,-152.72
0.6362305,0.7822266,-0.1984863,-0.5419847,16.87023,17.0458,-50.6,-65.32,-152.72
0.6518555,0.7053223,-0.2854004,13.84733,21.38168,19.37405,-50.6,-65.32,-152.72
0.6245117,0.7077637,-0.3151855,11.12977,12.48092,23.64122,-48.76,-63.48,-152.72
0.5654297,0.8198242,-0.236084,0.9923664,5.015267,19.67175,-48.76,-63.48,-152.72
0.5466309,0.8000488,-0.157959,16.48092,22.77099,9.19084,-46.0,-62.56,-151.8
0.5766602,0.7429199,-0.2045898,43.05344,35.87786,3.541985,-46.0,-62.56,-151.8
0.5830078,0.6362305,-0.2727051,45.75573,33.51908,8.290076,-46.0,-62.56,-151.8
0.5664063,0.6645508,-0.2658691,26.54198,26.79389,13.19847,-41.4,-60.72,-152.72
0.5717773,0.6826172,-0.2290039,14.80153,30.70992,16.50382,-41.4,-60.72,-152.72
0.5734863,0.6738281,-0.2236328,10.85496,37.96183,18.13741,-41.4,-60.72,-152.72
0.597168,0.6943359,-0.2880859,13.49618,37.38931,25.32825,-37.72,-57.96,-152.72
0.5947266,0.7189941,-0.2841797,16.44275,34.80153,28.26718,-37.72,-57.96,-152.72
0.5974121,0.765625,-0.3017578,14.64886,37.31298,29.07634,-33.12,-53.36,-153.64
0.5935059,0.8134766,-0.2912598,8.038168,38.64122,25.63359,-33.12,-53.36,-153.64
0.59375,0.8427734,-0.3056641,7.206107,32.22901,22.12977,-33.12,-53.36,-153.64
0.5805664,0.8256836,-0.3017578,13.64122,32.41221,19.25954,-31.28,-49.68,-153.64
0.5717773,0.875,-0.3146973,-0.04580153,9.229008,9.007633,-29.44,-46.92,-153.64
0.5795898,0.854248,-0.3188477,0.3282443,6.778626,4.793893,-29.44,-46.92,-153.64
0.5683594,0.8669434,-0.3330078,4.21374,0.5648855,2.114504,-29.44,-46.92,-153.64
0.5712891,0.8657227,-0.3210449,-3.541985,-1.473282,-5.679389,-28.52,-46.0,-153.64
0.5917969,0.8591309,-0.3383789,-12.35114,-4.251908,-12.52672,-28.52,-46.0,-153.64
0.6108398,0.8415527,-0.3244629,-16.12977,-7.977099,-15.70992,-31.28,-46.0,-154.56
0.6223145,0.8391113,-0.342041,-14.32824,-14.41985,-20.50382,-31.28,-46.0,-154.56
0.6181641,0.828125,-0.3317871,-11.87023,-16.33588,-24.70992,-31.28,-46.0,-154.56
0.6303711,0.8054199,-0.3198242,-15.1145,-17.33588,-29.87023,-33.12,-48.76,-154.56
0.6569824,0.7854004,-0.3352051,-16.9771,-22.56489,-32.82443,-33.12,-48.76,-154.56
0.6516113,0.7905273,-0.3015137,-16.17557,-28.83969,-34.83206,-33.12,-48.76,-154.56
0.6584473,0.7827148,-0.2885742,-14.39695,-28.41985,-38.94656,-38.64,-51.52,-154.56
0.6745605,0.7456055,-0.2770996,-7.358778,-27.01527,-39.07634,-38.64,-51.52,-154.56
0.685791,0.734375,-0.2536621,-10.9542,-25.77099,-37.9084,-44.16,-56.12,-154.56
0.6884766,0.7314453,-0.2429199,-12.87023,-19.59542,-34.98473,-44.16,-56.12,-154.56
0.6870117,0.7336426,-0.2475586,-16.45038,-23.29771,-34.12977,-44.16,-56.12,-154.56
0.6918945,0.708252,-0.2700195,-6.48855,-16.72519,-36.70992,-48.76,-60.72,-153.64
0.6833496,0.677002,-0.265625,-4.351145,-14.77863,-34.24427,-48.76,-60.72,-153.64
0.6901855,0.657959,-0.2504883,-14.53435,-25.85496,-29.78626,-48.76,-60.72,-153.64
0.6828613,0.6550293,-0.1855469,-19.22901,-28.13741,-24.17557,-54.28,-66.24,-152.72
0.6540527,0.6164551,-0.161377,-18.24427,-24.54962,-25.87786,-54.28,-66.24,-152.72
0.6804199,0.5993652,-0.1435547,-10.0458,-16.50382,-13.0916,-57.96,-69.92,-150.88
0.6870117,0.5876465,-0.1201172,-12.43511,-12.03817,-8.732824,-57.96,-69.92,-150.88
0.6789551,0.6176758,-0.1220703,-13.17557,-7.366412,-1.801527,-57.96,-69.92,-150.88
0.6708984,0.6359863,-0.125,-5.007634,2.503817,4.137404,-59.8,-70.84,-149.96
0.6616211,0.6552734,-0.1542969,-0.02290076,7.770992,9.557252,-59.8,-70.84,-149.96
0.657959,0.6462402,-0.1850586,0.9923664,7.977099,15.80916,-59.8,-70.84,-149.96
0.644043,0.6586914,-0.1831055,3.78626,7.496183,19.96947,-59.8,-69.92,-149.96
0.6391602,0.6887207,-0.1469727,2.129771,11.68702,23.16031,-59.8,-69.92,-149.96
0.6367188,0.7324219,-0.1584473,2.328244,15.85496,21.96183,-59.8,-69.92,-149.96
0.6474609,0.7106934,-0.1833496,11.91603,24.09924,21.91603,-57.96,-68.08,-150.88
0.657959,0.6845703,-0.1967773,16.98473,26.51908,24.06107,-57.96,-68.08,-150.88
0.6723633,0.6889648,-0.2316895,18.21374,26.96183,26.35878,-54.28,-64.4,-151.8
0.6699219,0.7011719,-0.2207031,13.25191,23.83969,29.1145,-54.28,-64.4,-151.8
0.6813965,0.7116699,-0.2390137,15.41985,23.74809,31.46565,-54.28,-64.4,-151.8
0.6745605,0.6948242,-0.2438965,19.9771,30.54962,33.39695,-49.68,-60.72,-152.72
0.6650391,0.7416992,-0.246582,18.9542,29.0229,31.05343,-49.68,-60.72,-152.72
0.6657715,0.7658691,-0.2280273,25.9542,31.96947,29.03053,-49.68,-60.72,-152.72
0.6708984,0.7387695,-0.2434082,34.9542,35.29771,26.42748,-44.16,-57.96,-153.64
0.6828613,0.7055664,-0.2749023,35.00763,33.16031,27.89313,-44.16,-57.96,-153.64
0.6838379,0.7438965,-0.300293,23.87023,23.91603,30.47328,-37.72,-54.28,-153.64
0.657959,0.8005371,-0.2856445,12.48855,18.71756,27.25954,-37.72,-54.28,-153.64
0.6660156,0.7956543,-0.2536621,14.51908,16.74046,25.49618,-37.72,-54.28,-153.64
0.6604004,0.8112793,-0.262207,20.53435,20.38168,23.61069,-33.12,-53.36,-153.64
0.6342773,0.7919922,-0.2573242,13.74046,16.74046,19.01527,-33.12,-53.36,-153.64
0.6113281,0.7780762,-0.2543945,17.19847,16.34351,16.25191,-33.12,-53.36,-153.64
0.59375,0.7949219,-0.2277832,16.13741,19.96183,15.69466,-29.44,-51.52,-151.8
0.5822754,0.7924805,-0.2785645,10.26718,23.24427,13.66412,-29.44,-51.52,-151.8
0.5644531,0.8129883,-0.317627,10.47328,22.33588,10.75572,-28.52,-49.68,-151.8
0.548584,0.8452148,-0.3498535,14.37405,19.52672,2.496183,-28.52,-49.68,-151.8
0.5446777,0.838623,-0.3952637,12.14504,11.0229,-2.167939,-28.52,-49.68,-151.8
0.5412598,0.8195801,-0.3852539,9.641221,2.549618,-4.847328,-27.6,-49.68,-151.8
0.543457,0.8129883,-0.3989258,-0.07633588,-8.877863,-16.29008,-28.52,-49.68,-150.88
