ax,ay,az
-1156,6028,15336
-1380,5540,14024
-1136,6036,14796
-3092,4632,12568
-5112,4816,11888
-8048,3988,12992
-7800,5184,14220
-8628,6136,17016
-10532,2208,10888
-12292,3536,11224
-11552,3908,14656
-12576,3144,14636
-14064,3164,17660
-14380,3884,15852
-14200,2300,10488
-16444,2040,5536
-13204,2044,7256
-13356,2008,8724
-14432,2472,10816
-14968,2308,10048
-15340,1548,8008
-15556,1096,7384
-15364,1096,6580
-15564,1432,5856
-15180,1012,6588
-15540,708,7068
-17060,984,8128
-16672,1312,7920
-15636,1676,7628
-15564,1908,7836
-15232,1788,7188
-15024,600,6876
-15976,336,5620
-15468,620,5380
-14632,536,6300
-14864,740,6796
-15296,1696,7368
-15160,1688,7136
-14964,800,5948
-15300,868,5556
-14800,1384,6220
-14828,1216,6536
-15740,1260,5988
-15816,1292,5688
-14968,824,5900
-14840,788,5676
-15504,1516,5752
-15132,1412,5824
-16080,308,5952
-16444,568,5724
-15188,1612,5636
-14952,1200,5548
-16204,704,6284
-15916,1048,6320
-14824,1224,6152
-14696,984,5956
-15260,964,5612
-15324,1080,5596
-14848,380,6084
-15160,204,5960
-15704,1032,5392
-15360,1128,5384
-15628,628,5632
-16152,664,5740
-15856,1128,6196
-15816,1204,6432
-15892,1036,5864
-15736,1204,5320
-15236,1212,4860
-14816,860,5196
-15848,568,5888
-16208,540,5720
-15572,616,5648
-15216,772,5604
-15504,956,4872
-15692,1044,4928
-15456,1052,5488
-15588,532,6192
-16184,1044,5508
-15960,1164,5236
-15128,572,5088
-15284,424,5300
-15912,832,5656
-15756,996,5516
-15312,812,5380
-15368,516,5284
-15612,1004,5488
-15484,1108,5464
-15240,588,5892
-15396,652,6152
-15748,752,5640
-15560,776,5368
-15240,656,5192
-15196,688,5236
-15688,744,5420
-15588,796,5452
-15392,600,5692
-15628,600,5680
-15692,992,5144
-15348,968,5456
-15320,652,5820
-16012,812,5884
-15548,724,5804
-15452,532,5880
-16052,500,5244
-15852,952,4932
-14996,788,5412
-15156,676,5780
-15848,680,5832
-15420,1148,5260
-15256,612,4964
-15344,464,5100
-16016,844,5712
-15972,692,5900
-15392,548,5536
-15744,688,5468
-15696,760,4968
-15548,468,5368
-15616,156,5436
-15900,200,5284
-15276,736,5260
-15188,736,5436
-15488,376,5432
-15636,408,5516
-15572,312,5752
-15816,380,5948
-15540,1156,5448
-15252,1064,5604
-15600,396,6056
-15860,540,6060
-15740,476,5348
-15656,476,5040
-15500,700,4788
-15308,936,4920
-15400,840,6284
-15508,580,6396
