ax,ay,az
15508,316,-4360
15564,308,-4332
15496,272,-4300
15712,272,-4352
15572,320,-4320
15732,248,-4312
15852,256,-4384
15732,288,-4504
15620,320,-4328
15604,260,-4400
15616,288,-4364
15704,228,-4364
15780,284,-4392
15680,264,-4348
15676,276,-4364
15580,376,-4456
15700,316,-4444
15660,308,-4408
15736,308,-4440
15644,316,-4472
15624,328,-4500
15660,316,-4520
15660,292,-4376
15732,364,-4564
15668,352,-4408
15688,296,-4404
15688,272,-4452
15636,300,-4448
15716,372,-4472
15676,336,-4360
15640,284,-4380
15668,348,-4460
15724,300,-4340
15728,256,-4324
15692,296,-4408
15652,320,-4392
15680,364,-4532
15644,268,-4428
15688,308,-4380
15708,344,-4280
15732,316,-4384
15684,328,-4344
15644,384,-4376
15688,260,-4412
15692,288,-4584
15700,340,-4452
15744,272,-4412
15720,336,-4440
15688,300,-4448
15616,264,-4348
15660,304,-4412
15720,272,-4452
15712,268,-4508
15668,328,-4572
15692,316,-4424
15708,312,-4328
15716,344,-4312
15700,292,-4404
15656,352,-4472
15704,320,-4336
15712,248,-4400
15728,288,-4376
15660,340,-4396
15684,304,-4472
15684,312,-4448
15692,320,-4412
15744,344,-4484
15680,308,-4440
15716,308,-4428
15648,348,-4464
15676,356,-4488
15712,324,-4272
15648,248,-4452
15704,360,-4308
15672,328,-4460
15708,320,-4456
15672,292,-4400
15680,320,-4500
15716,340,-4432
15652,332,-4380
15700,280,-4428
15660,296,-4404
15748,316,-4448
15628,344,-4384
15704,300,-4364
15856,408,-4444
15792,348,-4460
15704,280,-4280
15728,336,-4384
15732,360,-4264
15712,308,-4412
15656,316,-4412
15712,412,-4404
15760,328,-4448
16272,640,-4384
15876,428,-4420
15740,208,-4508
15696,428,-4348
15684,372,-4456
15716,268,-4460
15672,264,-4344
15636,344,-4456
15544,180,-4380
15700,392,-4480
15544,272,-4320
15672,372,-4368
15636,352,-4312
15760,408,-4484
15676,320,-4420
15720,344,-4400
15744,280,-4356
15628,256,-4408
15716,348,-4344
15692,280,-4496
15648,292,-4248
15652,356,-4392
15712,372,-4368
15656,328,-4440
15620,328,-4416
15672,284,-4380
15600,268,-4412
15668,348,-4368
15740,316,-4408
15748,348,-4372
15732,304,-4332
15732,352,-4536
15664,352,-4444
15760,328,-4344
15724,420,-4268
15684,400,-4324
15648,356,-4452
15688,364,-4256
15716,376,-4332
15712,332,-4440
15684,368,-4324
15740,320,-4348
15708,356,-4432
15652,316,-4400
15688,352,-4356
15640,380,-4376
15688,368,-4516
15704,420,-4392
15676,360,-4396
15672,344,-4536
15664,404,-4392
15716,316,-4396
15728,348,-4316
15724,300,-4372
15712,304,-4460
15732,288,-4336
15684,324,-4472
15636,344,-4284
15740,328,-4312
15628,304,-4396
15688,372,-4308
15688,348,-4456
15728,380,-4368
15676,360,-4424
15676,368,-4476
15652,340,-4532
15628,312,-4428
15652,400,-4396
15728,340,-4404
15676,364,-4524
15704,336,-4436
15692,344,-4324
15728,428,-4284
15708,332,-4356
15724,412,-4352
15668,356,-4396
15696,320,-4420
15704,360,-4336
15672,300,-4376
15672,388,-4392
15712,252,-4444
15716,444,-4460
15680,380,-4312
15672,360,-4344
15712,356,-4360
15716,344,-4416
15740,364,-4368
15656,288,-4320
15664,324,-4468
15644,268,-4372
15696,260,-4340
