ax,ay,az
964,16368,-2492
1332,15944,-2608
1240,16028,-2472
1152,16116,-2252
1016,16240,-2144
1112,16156,-2208
1124,16200,-2408
1224,16164,-2588
1844,15876,-3228
1520,16532,-2916
808,16452,-2756
760,16120,-2724
1128,15828,-2568
1244,15916,-2508
1272,16008,-2316
948,16068,-2040
912,16108,-1740
968,16216,-1632
1132,16180,-1532
1036,16188,-1600
932,16132,-1776
956,16168,-1908
1004,16120,-2008
1060,16116,-2072
1064,16128,-2144
1036,16272,-2324
1064,16304,-2576
1116,16260,-2924
1240,16264,-3152
1240,16176,-3308
1324,16168,-3368
1196,16124,-3276
1140,16232,-3108
1088,16252,-2908
1068,16144,-2676
1132,16080,-2584
1116,16108,-2560
1196,16084,-2492
1184,16084,-2504
1124,16028,-2392
1100,16044,-2304
992,16132,-2168
980,16120,-2200
1104,16076,-2152
1052,16112,-2056
1044,16076,-2156
992,16012,-2188
996,16132,-2240
1048,16160,-2152
1012,16100,-2312
1000,16080,-2392
1028,16072,-2448
988,16076,-2272
932,16100,-2160
884,16072,-2140
932,16116,-2148
1980,16116,-1420
1776,17060,-1952
-552,16668,-1864
500,15736,-2416
1608,16000,-3212
1068,16448,-3404
1092,16180,-3664
1276,16232,-3900
1052,16328,-3960
1184,16276,-3900
1388,16452,-3860
848,16476,-3520
848,16464,-3424
736,16292,-2912
-88,15972,-3072
1220,15272,-2436
2256,15792,-2436
636,16712,-1628
576,16300,-1384
824,16160,-1412
996,16096,-1544
848,16124,-1792
964,16028,-1976
920,16104,-2196
868,16472,-2384
1124,16300,-3412
704,15952,-1888
964,15636,-2808
704,16412,-2400
724,16340,-2784
660,16312,-2296
660,16296,-2380
928,16264,-2596
984,16136,-2392
1268,16052,-3160
1308,16036,-3280
1100,16148,-2660
1080,16164,-2700
1024,16168,-2804
896,16216,-2328
784,16220,-2568
764,16140,-2144
1076,16128,-2916
1052,15940,-2824
788,16048,-2156
976,16124,-2632
856,16024,-2416
896,16080,-2432
632,16288,-2308
660,16320,-2556
888,16304,-2560
788,16164,-2528
968,16416,-3660
484,16320,-2976
676,16148,-1988
932,16248,-2824
840,16140,-2608
456,15408,-2776
1104,16036,-2972
1004,16160,-2660
1040,16168,-2792
888,16116,-2724
912,16340,-2792
316,15948,-2732
804,16148,-2460
952,16200,-2644
1048,16116,-2968
-56,15800,-3560
800,16368,-2200
928,16208,-2816
320,16268,-2020
728,16288,-1668
988,16208,-2912
896,16208,-2880
984,15996,-2504
1228,16068,-3000
1092,16096,-2896
1132,16152,-3052
824,16376,-2536
412,16372,-1776
700,16424,-2816
772,16252,-2616
808,16276,-2564
932,16252,-2980
972,16168,-2904
1068,16132,-2564
1092,16108,-2648
1180,16260,-2840
1052,16044,-3436
1156,16212,-3292
1148,16160,-2916
1112,16120,-1680
1296,16128,-3116
1104,15832,-3388
1120,16124,-2196
1040,16016,-2332
1120,16184,-2876
1124,16156,-2844
1172,15972,-2840
1332,16076,-2776
1136,16132,-3180
