ax,ay,az
520,-16360,704
428,-16356,664
224,-16456,532
416,-16416,384
396,-16448,596
328,-16452,568
408,-16420,588
440,-16512,660
796,-16484,592
668,-16312,660
268,-16256,576
192,-16364,628
444,-16348,628
676,-16232,696
-48,-16444,124
-144,-16512,-376
456,-15992,3032
16,-16396,708
300,-16440,1132
584,-16372,184
1180,-16156,320
864,-16128,288
1512,-16032,1296
2280,-16056,-1364
1384,-16072,68
-508,-15352,888
152,-16660,104
244,-16120,988
0,-16292,824
-1916,-17120,2416
-2040,-17220,1744
952,-17332,-356
-812,-16224,392
544,-16536,640
-636,-16096,1308
204,-16508,156
872,-16412,484
552,-16452,460
588,-16488,824
656,-15580,1108
1680,-15652,1384
-1824,-17148,-364
-852,-16604,176
1988,-14904,1092
328,-15704,1692
1636,-16236,-144
372,-16320,1616
1476,-16220,260
204,-16500,724
732,-16488,352
316,-16548,660
376,-16388,432
332,-16424,584
428,-16472,556
504,-16376,440
320,-16392,544
468,-16336,672
436,-16376,568
476,-16456,520
368,-16428,492
420,-16436,620
600,-16380,576
-16,-16356,608
492,-16352,324
332,-16448,512
452,-16444,464
496,-16360,452
308,-16416,536
456,-16236,444
396,-16360,500
452,-16252,648
-208,-16124,708
808,-16292,332
-124,-16264,672
476,-16400,612
300,-16212,700
256,-16456,392
368,-16296,656
160,-16356,512
336,-16384,632
324,-16464,448
484,-16436,552
480,-16424,564
396,-16404,488
664,-16536,436
1016,-16428,484
320,-16664,480
740,-16460,548
516,-16496,484
212,-16312,456
1564,-16176,808
-256,-16400,740
284,-16108,756
272,-16512,492
204,-16296,608
752,-16336,632
-844,-16348,732
480,-16596,204
716,-16368,624
640,-16360,616
-180,-16632,472
424,-16580,404
716,-16436,612
784,-16444,292
632,-16136,776
616,-16204,516
-116,-16596,824
1024,-16448,116
1108,-16452,80
1032,-16140,376
324,-16412,640
268,-16368,480
344,-16428,360
220,-16272,636
292,-16436,476
268,-16356,556
848,-16212,632
952,-16132,596
240,-16420,400
192,-16368,588
400,-16352,584
588,-16244,536
344,-16404,556
388,-16420,640
392,-16412,540
700,-16288,580
304,-16440,644
504,-16400,436
328,-16480,372
528,-16376,672
364,-16412,548
328,-16444,468
352,-16436,568
520,-16436,548
476,-16360,660
392,-16544,516
452,-16400,536
596,-16340,488
360,-16476,536
244,-16464,472
476,-16216,496
508,-16292,576
376,-16380,668
296,-16388,508
492,-16268,552
516,-16328,560
272,-16368,564
300,-16352,520
544,-16300,560
392,-16360,444
348,-16472,612
376,-16436,532
508,-16332,540
360,-16332,532
388,-16404,520
476,-16332,704
468,-16412,536
448,-16464,584
360,-16400,540
460,-16392,628
368,-16384,528
356,-16396,516
388,-16404,516
436,-16340,592
460,-16420,628
360,-16376,552
468,-16324,584
400,-16312,504
364,-16336,476
392,-16296,496
448,-16320,548
324,-16380,604
436,-16344,724
460,-16384,452
380,-16348,592
464,-16448,600
444,-16472,504
480,-16376,568
484,-16336,584
412,-16440,620
444,-16488,524
444,-16324,644
428,-16400,608
372,-16400,696
400,-16444,496
404,-16364,488
388,-16376,456
388,-16380,628
432,-16360,672
332,-16424,540
492,-16336,564
464,-16368,500
348,-16328,548
416,-16340,596
424,-16376,544
420,-16372,660
416,-16332,612
324,-16312,596
392,-16328,504
468,-16412,576
404,-16384,588
404,-16268,564
468,-16372,564
372,-16376,600
460,-16380,560
444,-16372,420
384,-16352,524
436,-16444,548
436,-16340,624
428,-16372,668
464,-16368,496
396,-16392,520
436,-16408,560
420,-16340,640
392,-16396,652
412,-16280,620
344,-16416,500
416,-16284,428
408,-16388,436
392,-16352,572
396,-16404,520
428,-16328,588
392,-16328,480
368,-16408,592
368,-16340,640
408,-16372,568
488,-16440,564
452,-16340,492
392,-16456,536
488,-16364,556
528,-16420,528
468,-16428,636
372,-16416,540
408,-16380,616
364,-16448,576
444,-16324,540
444,-16312,552
388,-16380,528
384,-16288,452
712,-16296,516
432,-16468,504
432,-16412,648
452,-16360,484
372,-16356,552
440,-16416,672
400,-16352,536
440,-16392,596
404,-16384,564
532,-16380,584
440,-16292,548
416,-16432,520
440,-16420,496
456,-16396,588
