ax,ay,az
4212,1564,15644
4204,1440,15568
4220,1424,15496
4336,1512,15632
4308,1484,15632
4248,1488,15656
4256,1488,15596
4264,1464,15540
4256,1568,15564
4240,1532,15540
4280,1536,15492
4268,1480,15576
4236,1492,15584
4140,1508,15596
4280,1500,15676
4260,1456,15560
4228,1516,15716
4248,1484,15544
4256,1488,15496
4292,1468,15536
4264,1464,15552
4208,1472,15668
4304,1488,15628
4220,1524,15604
4280,1444,15644
4232,1512,15528
4188,1536,15620
4200,1476,15488
4276,1464,15752
4276,1520,15564
4200,1464,15612
4272,1456,15592
4336,1496,15656
4348,1452,15520
4240,1480,15484
4256,1476,15644
4280,1416,15508
4276,1556,15736
4304,1520,15492
4296,1536,15512
4220,1448,15588
4280,1448,15636
4260,1444,15492
4236,1528,15416
4260,1492,15576
4240,1508,15704
4328,1452,15520
4264,1424,15568
4260,1424,15568
4248,1480,15692
4292,1488,15644
4244,1500,15640
4288,1460,15560
4244,1440,15592
4244,1564,15700
4240,1476,15584
4336,1536,15668
4240,1428,15624
4280,1480,15708
4288,1516,15532
4224,1440,15624
4300,1468,15460
4248,1456,15472
4260,1468,15656
4236,1504,15572
4220,1400,15560
4228,1480,15644
4252,1504,15600
4288,1468,15648
4220,1476,15524
4264,1480,15660
4320,1504,15616
4220,1548,15532
4236,1476,15696
4244,1468,15516
4304,1420,15576
4276,1492,15592
4324,1520,15548
4264,1500,15588
4196,1456,15708
4284,1560,15748
4316,1452,15476
4292,1504,15504
4288,1512,15684
4264,1488,15616
4280,1464,15688
4268,1456,15464
4248,1496,15692
4216,1420,15504
4272,1436,15648
4284,1460,15580
4276,1500,15560
4232,1420,15472
4228,1456,15540
4336,1508,15496
4272,1472,15572
4264,1488,15652
4244,1492,15628
4284,1512,15500
4224,1444,15560
4300,1720,16064
4196,1556,15504
4240,1476,15640
4244,1476,15568
4236,1440,15692
4300,1504,15568
4292,1436,15704
4312,1492,15540
4280,1460,15648
4224,1460,15488
4228,1468,15664
4236,1492,15636
4260,1504,15596
4272,1456,15524
4188,1456,15584
4284,1464,15540
4252,1504,15604
4252,1512,15604
4296,1456,15544
4216,1488,15536
4260,1484,15592
4300,1444,15664
4248,1552,15500
4252,1456,15536
4292,1436,15508
4296,1464,15536
4296,1500,15628
4232,1452,15616
4316,1488,15736
4220,1456,15660
4300,1452,15604
4276,1480,15540
4324,1456,15584
4280,1488,15624
4280,1484,15576
4284,1520,15636
4252,1456,15640
4228,1516,15576
4248,1492,15588
4304,1436,15504
4268,1420,15552
4272,1460,15496
4240,1396,15620
4252,1460,15632
4292,1436,15616
4288,1504,15468
4284,1540,15692
4192,1548,15476
4276,1448,15624
4304,1488,15536
4276,1528,15648
4272,1520,15556
4256,1456,15568
4288,1464,15552
4240,1456,15536
4256,1484,15532
4252,1488,15516
4208,1448,15584
4240,1412,15488
4320,1472,15552
4276,1472,15604
4296,1456,15524
4264,1496,15656
4216,1428,15596
4256,1508,15612
4276,1456,15608
4288,1504,15608
4220,1444,15576
4272,1428,15540
4276,1472,15672
4268,1432,15584
4268,1452,15472
4256,1388,15632
4240,1488,15612
4228,1476,15584
4236,1456,15564
4312,1472,15640
4304,1476,15648
4244,1476,15728
4208,1456,15564
4248,1508,15632
4208,1464,15592
4324,1452,15588
4260,1424,15504
4304,1448,15716
4280,1476,15692
4288,1488,15512
4228,1480,15524
4256,1516,15552
4268,1488,15552
4300,1412,15496
4260,1508,15560
4264,1472,15552
4292,1396,15560
4268,1468,15616
4196,1432,15616
4256,1448,15520
4224,1516,15492
4248,1504,15620
4260,1424,15500
4256,1452,15596
4288,1500,15560
4288,1464,15772
4264,1448,15568
4360,1500,15612
4304,1452,15544
