ax,ay,az
-4228,-1496,-16080
-4180,-1572,-15972
-4292,-1524,-16076
-4308,-1516,-16080
-4220,-1512,-16200
-4316,-1528,-16060
-4268,-1540,-16108
-4300,-1564,-16276
-4252,-1572,-16112
-4344,-1552,-16016
-4260,-1516,-16136
-4236,-1576,-16072
-4304,-1608,-16224
-4296,-1552,-16096
-4348,-1544,-16188
-4276,-1560,-16172
-4256,-1528,-16016
-4264,-1560,-16080
-4248,-1544,-16208
-4288,-1588,-16156
-4320,-1516,-16188
-4356,-1524,-16120
-4308,-1544,-16172
-4304,-1500,-16200
-4248,-1532,-16132
-4280,-1532,-16236
-4356,-1536,-16144
-4300,-1512,-16196
-4264,-1576,-16228
-4220,-1572,-16140
-4268,-1552,-16132
-4316,-1592,-16184
-4248,-1516,-16252
-4304,-1556,-16052
-4212,-1580,-16032
-4336,-1544,-16116
-4280,-1560,-16140
-4276,-1584,-16160
-4236,-1580,-16192
-4288,-1528,-16216
-4240,-1520,-16208
-4292,-1572,-16164
-4296,-1560,-16044
-4252,-1508,-16172
-4284,-1512,-16132
-4284,-1504,-16176
-4304,-1540,-16164
-4232,-1516,-16188
-4288,-1544,-16036
-4252,-1556,-16076
-4312,-1564,-16080
-4312,-1568,-16144
-4280,-1496,-16196
-4292,-1544,-16200
-4328,-1528,-16168
-4256,-1580,-16148
-4424,-1564,-16224
-4312,-1568,-16104
-4288,-1584,-16180
-4312,-1524,-16216
-4288,-1552,-16216
-4256,-1612,-16112
-4276,-1496,-16156
-4224,-1512,-16160
-4316,-1552,-16216
-4260,-1552,-16080
-4256,-1508,-16088
-4328,-1544,-16176
-4344,-1524,-16264
-4400,-1564,-16192
-4268,-1568,-16184
-4348,-1572,-16216
-4288,-1532,-16112
-4288,-1540,-16268
-4312,-1548,-16132
-4300,-1496,-16228
-4348,-1528,-16164
-4360,-1552,-16224
-4276,-1552,-16192
-4300,-1624,-16144
-4272,-1580,-16088
-4300,-1512,-16204
-4276,-1568,-16176
-4224,-1540,-16212
-4352,-1548,-16280
-4248,-1520,-16148
-4344,-1572,-16256
-4288,-1584,-16148
-4296,-1560,-16228
-4324,-1616,-16140
-4256,-1560,-16092
-4272,-1572,-16296
-4308,-1516,-15948
-4332,-1536,-16260
-4348,-1596,-16192
-4340,-1580,-16208
-4296,-1536,-16108
-4312,-1500,-16112
-4268,-1564,-16272
-4348,-1596,-16180
-4352,-1528,-16112
-4260,-1512,-16204
-4300,-1564,-16204
-4300,-1572,-16140
-4300,-1536,-16216
-4324,-1564,-16036
-4364,-1548,-16108
-4316,-1488,-16244
-4272,-1468,-16120
-4328,-1456,-16148
-4240,-1564,-16152
-4344,-1544,-16144
-4232,-1488,-16176
-4256,-1516,-16136
-4236,-1588,-16064
-4260,-1624,-16132
-4364,-1544,-16216
-4264,-1504,-16116
-4280,-1516,-16180
-4280,-1612,-16132
-4268,-1528,-16264
-4252,-1564,-16128
-4316,-1524,-16184
-4276,-1572,-16188
-4340,-1584,-16072
-4316,-1580,-16176
-4272,-1524,-16092
-4248,-1508,-16164
-4328,-1544,-16068
-4272,-1592,-16152
-4312,-1512,-16292
-4340,-1592,-16292
-4232,-1564,-16064
-4284,-1512,-16044
-4304,-1600,-16188
-4348,-1524,-16172
-4376,-1612,-16212
-4360,-1572,-16156
-4284,-1564,-16144
-4292,-1488,-16188
-4288,-1536,-16120
-4276,-1532,-16152
-4364,-1500,-16220
-4296,-1556,-16160
-4220,-1568,-16152
-4268,-1492,-16180
-4316,-1548,-16128
-4348,-1532,-16160
-4304,-1584,-16080
-4288,-1516,-16172
-4256,-1512,-16196
-4284,-1544,-16160
-4280,-1596,-16204
-4316,-1564,-16140
-4356,-1560,-16088
-4352,-1584,-16192
-4288,-1580,-16104
-4232,-1572,-16204
-4308,-1568,-16148
-4264,-1512,-16216
-4352,-1532,-16120
-4284,-1548,-16216
-4300,-1556,-16080
-4328,-1556,-16108
-4344,-1484,-16152
-4280,-1540,-16292
-4268,-1648,-16116
-4328,-1604,-16132
-4272,-1556,-16336
-4280,-1504,-16224
-4300,-1556,-16152
-4280,-1592,-16180
-4296,-1468,-16072
-4260,-1652,-16088
-4292,-1584,-16124
-4308,-1496,-16120
-4328,-1572,-16200
-4336,-1588,-16164
-4344,-1540,-16200
-4220,-1596,-16180
-4288,-1492,-16144
-4324,-1508,-16224
-4284,-1580,-16164
-4264,-1568,-16060
-4264,-1552,-16128
-4336,-1548,-16160
-4308,-1584,-16092
-4248,-1536,-16128
-4304,-1504,-16188
-4300,-1556,-16044
-4312,-1536,-16092
-4264,-1536,-16140
-4292,-1544,-16020
-4292,-1536,-16132
-4300,-1624,-16100
-4356,-1544,-16212
-4344,-1468,-16184
-4308,-1532,-16096
-4288,-1540,-16204
-4276,-1564,-16116
-4308,-1512,-16152
-4336,-1576,-16172
-4348,-1508,-16260
-4300,-1528,-16192
-4316,-1500,-16176
-4300,-1540,-16116
-4320,-1536,-16172
-4240,-1544,-16076
-4292,-1508,-16188
-4292,-1556,-16064
-4252,-1568,-16240
-4300,-1572,-16072
-4324,-1528,-16128
-4304,-1572,-16240
-4400,-1548,-16048
-4368,-1544,-16180
-4284,-1552,-16180
-4292,-1576,-16228
-4280,-1544,-16044
-4284,-1520,-16212
-4252,-1524,-16120
-4284,-1532,-16192
-4300,-1532,-16164
-4252,-1556,-16160
-4320,-1504,-16280
-4316,-1516,-16084
-4464,-1536,-16348
-4380,-1540,-16288
-4304,-1520,-16104
-4264,-1496,-16252
-4296,-1528,-16076
-4288,-1528,-16256
-4284,-1524,-16084
-4268,-1540,-16104
-4296,-1560,-16132
-4216,-1604,-16100
-4288,-1556,-16172
-4304,-1588,-16212
-4272,-1528,-16152
-4316,-1504,-16032
-4292,-1552,-16088
-4180,-1576,-16096
-4304,-1552,-16068
-4232,-1572,-16052
-4240,-1488,-16016
-4316,-1556,-16164
-4272,-1548,-16120
-4332,-1536,-16200
-4244,-1568,-16228
-4308,-1536,-16260
-4328,-1472,-16152
-4292,-1580,-16160
-4260,-1544,-16240
-4276,-1516,-16140
-4288,-1524,-16072
-4284,-1544,-16192
-4264,-1500,-16132
-4296,-1520,-16108
-4280,-1556,-16056
-4344,-1552,-16076
-4320,-1600,-16112
-4232,-1540,-16220
-4260,-1564,-16028
-4288,-1548,-16176
-4288,-1560,-15996
-4248,-1500,-16212
-4244,-1544,-16032
-4300,-1516,-16148
-4268,-1484,-16088
-4296,-1476,-16160
-4276,-1472,-16196
-4284,-1532,-16000
-4280,-1496,-16176
-4368,-1528,-16168
-4268,-1520,-16252
-4292,-1536,-16188
-4272,-1516,-16124
-4284,-1528,-16088
-4324,-1592,-16068
-4252,-1560,-16124
-4344,-1592,-16188
-4292,-1568,-16112
-4252,-1536,-16144
-4268,-1576,-16224
-4328,-1572,-16028
-4208,-1548,-16164
-4244,-1540,-16196
-4292,-1568,-16220
-4300,-1564,-16108
-4308,-1564,-16228
-4400,-1516,-15988
-4268,-1560,-16080
-4340,-1532,-16184
-4252,-1604,-16096
-4304,-1568,-16068
-4272,-1536,-16152
-4276,-1528,-16148
-4244,-1524,-16064
-4216,-1488,-16056
-4312,-1532,-16116
-4288,-1568,-16176
-4260,-1552,-16256
-4296,-1564,-16152
-4304,-1532,-16200
-4276,-1536,-16228
-4304,-1448,-16116
-4264,-1504,-16160
-4296,-1572,-15976
-4312,-1616,-16124
-4300,-1568,-16136
-4256,-1584,-16292
-4292,-1536,-16200
-4284,-1508,-16184
-4304,-1532,-16204
-4328,-1540,-16132
-4384,-1508,-16252
-4296,-1516,-16132
-4276,-1548,-16212
-4284,-1512,-16148
-4268,-1504,-16144
-4232,-1508,-16136
-4320,-1592,-16172
-4348,-1556,-16132
-4320,-1528,-16108
-4296,-1544,-16304
-4260,-1528,-16116
-4256,-1496,-16212
-4312,-1560,-16096
-4268,-1520,-16148
-4276,-1548,-16204
-4308,-1600,-16100
-4324,-1516,-16236
-4272,-1600,-16168
-4336,-1492,-16200
-4284,-1580,-16224
-4304,-1508,-16176
-4336,-1468,-16100
-4288,-1512,-16212
-4368,-1580,-16072
-4320,-1544,-16172
-4316,-1560,-16068
-4152,-1600,-16228
-4264,-1580,-16104
-4268,-1552,-16076
-4248,-1560,-16100
-4292,-1500,-16196
-4332,-1600,-16072
-4332,-1544,-16164
-4252,-1572,-16260
-4288,-1548,-16268
-4280,-1568,-16160
-4348,-1492,-16228
-4308,-1596,-16172
-4284,-1584,-16096
-4312,-1500,-16184
-4280,-1532,-16152
-4256,-1512,-16196
-4320,-1544,-16176
-4248,-1516,-16152
-4244,-1524,-16068
-4336,-1488,-16192
-4236,-1560,-16120
-4280,-1544,-16168
-4320,-1620,-16116
-4324,-1592,-16080
-4268,-1528,-16280
-4316,-1584,-16096
-4256,-1564,-16220
-4304,-1596,-16052
-4300,-1548,-16132
-4244,-1544,-16156
-4332,-1564,-16168
-4272,-1540,-16276
-4252,-1564,-16216
-4276,-1580,-16172
-4352,-1616,-16124
-4304,-1496,-16200
-4300,-1576,-16096
-4320,-1564,-16240
-4320,-1556,-16208
-4324,-1536,-16148
-4324,-1500,-16200
-4296,-1528,-16112
-4292,-1540,-16248
-4312,-1576,-16008
-4216,-1504,-16212
-4264,-1560,-16156
-4340,-1548,-16136
-4272,-1536,-16132
-4304,-1512,-16148
-4308,-1564,-16084
-4332,-1544,-16108
-4212,-1544,-16160
-4308,-1600,-15988
-4260,-1532,-16192
-4300,-1576,-16080
-4260,-1488,-16136
-4308,-1560,-16264
-4340,-1540,-16080
-4280,-1552,-16252
-4344,-1540,-16124
-4304,-1600,-16220
