gx,gy,gz
-395,962,-1837
-245,762,-1486
-233,516,-1505
-1218,-938,-2598
-1732,-736,-2417
-2900,5193,-2870
-3064,10217,-2131
-2118,8279,-1249
-2037,4907,1981
-2675,3840,-444
-2591,3840,-1739
-2122,3890,-2100
-2352,3993,-1875
-2436,4156,-304
-2868,3669,-988
-3393,3575,-1783
-3017,4273,-1287
-2192,4412,1713
-1997,4380,1015
-823,3177,-620
-288,1849,-615
-278,4032,-974
-447,5081,-1186
-109,4239,-392
-451,4958,-446
-994,5105,-333
-1351,4378,-395
-3333,1354,106
-3441,1988,395
-2663,5522,-586
-1994,4770,-363
-304,4497,-853
-69,3802,-614
-1052,5831,-786
-1663,4910,-629
-2508,5592,-261
-2495,5315,-459
-2401,5237,-78
-2464,5024,-361
-2430,5104,-258
-2419,4883,-322
-2447,4968,-225
-2420,4771,-151
-2432,4909,-199
-2391,4743,-138
-2462,4844,-195
-2420,4733,-131
-2424,4768,-137
-2424,4751,-128
-2428,4751,-168
-2437,4738,-133
-2431,4727,-139
-2413,4784,-171
-2402,4772,-164
-2421,4782,-127
-2375,4769,-183
-2397,4802,-174
-2417,4834,-154
-2470,4799,-197
-2437,4792,-175
-2402,4775,-149
-2478,4825,-149
-2430,4813,-186
-2471,4812,-173
-2392,4765,-168
-2424,4796,-179
-2447,4789,-161
-2409,4764,-185
-2413,4759,-151
-2443,4817,-177
-2445,4763,-126
-2420,4774,-159
-2401,4762,-163
-2429,4769,-156
-2401,4779,-169
-2436,4777,-159
-2437,4772,-169
-2415,4773,-146
-2454,4800,-186
-2416,4802,-144
-2408,4762,-154
-2418,4795,-179
-2450,4801,-160
-2451,4767,-168
-2420,4771,-158
-2413,4775,-160
-2421,4784,-149
-2410,4771,-176
-2426,4790,-157
-2448,4756,-162
-2388,4767,-183
-2418,4796,-187
-2411,4810,-180
-2458,4795,-140
-2436,4770,-159
-2429,4800,-152
-2431,4761,-192
-2430,4795,-169
-2407,4760,-161
-2469,4775,-173
-2417,4742,-151
-2453,4748,-164
-2425,4775,-148
-2418,4784,-196
-2406,4765,-139
-2450,4815,-189
-2452,4752,-154
-2420,4760,-179
-2436,4811,-171
-2436,4811,-153
-2449,4776,-168
-2413,4812,-152
-2403,4788,-181
-2430,4789,-138
-2418,4795,-164
-2412,4767,-136
-2398,4755,-131
-2417,4777,-167
-2427,4784,-157
-2417,4786,-178
-2418,4783,-152
-2444,4802,-161
-2394,4793,-142
-2417,4820,-171
-2447,4788,-181
-2421,4801,-175
-2409,4790,-171
-2428,4808,-162
-2422,4759,-178
-2432,4777,-149
-2447,4803,-143
-2437,4773,-137
-2452,4756,-177
-2441,4797,-150
-2398,4778,-142
-2416,4766,-168
-2432,4768,-168
-2423,4799,-174
-2414,4759,-169
-2442,4775,-174
-2392,4779,-142
-2399,4781,-196
-2411,4785,-175
-2444,4778,-144
-2417,4804,-177
-2429,4775,-200
-2441,4780,-176
-2474,4797,-143
-2411,4791,-167
-2450,4790,-175
-2427,4778,-163
-2475,4795,-139
-2439,4785,-115
-2438,4799,-204
-2450,4773,-151
-2427,4809,-185
-2402,4766,-192
-2442,4766,-168
-2438,4759,-184
-2421,4756,-148
-2393,4760,-174
-2429,4793,-137
-2421,4811,-165
-2427,4765,-133
-2450,4804,-142
-2405,4768,-139
-2439,4816,-157
-2429,4793,-129
-2402,4821,-141
-2411,4771,-176
-2459,4785,-149
-2429,4788,-186
-2420,4792,-177
-2420,4795,-184
-2446,4796,-151
-2415,4808,-181
-2433,4761,-178
-2438,4794,-154
-2414,4777,-189
-2439,4772,-157
-2437,4787,-165
-2427,4772,-155
-2452,4793,-162
-2468,4752,-161
-2433,4796,-172
-2413,4771,-191
-2409,4795,-148
-2415,4775,-175
-2423,4784,-140
-2423,4794,-181
-2412,4765,-151
-2438,4808,-165
-2394,4771,-177
-2412,4790,-172
-2469,4772,-156
-2419,4787,-180
-2415,4783,-182
-2429,4796,-155
-2402,4782,-151
-2449,4783,-136
-2439,4748,-124
-2440,4794,-130
-2438,4810,-146
-2456,4790,-167
-2458,4796,-151
-2438,4765,-183
-2402,4800,-169
-2454,4771,-172
-2405,4787,-169
-2420,4792,-161
-2472,4789,-190
-2444,4808,-167
-2421,4771,-175
-2394,4744,-152
-2453,4784,-148
-2437,4780,-152
-2439,4789,-196
-2448,4798,-158
-2425,4795,-159
-2429,4810,-171
-2433,4776,-154
-2398,4799,-183
-2440,4788,-148
-2419,4806,-177
-2399,4792,-147
-2410,4793,-160
-2417,4805,-161
-2424,4809,-160
-2413,4797,-192
-2443,4783,-126
-2389,4812,-171
-2417,4768,-171
-2408,4833,-138
-2431,4797,-170
-2417,4770,-160
-2431,4795,-161
-2435,4806,-138
-2462,4795,-218
-2434,4814,-169
-2424,4795,-193
-2459,4756,-159
-2434,4797,-165
-2431,4783,-198
-2433,4774,-150
-2441,4787,-183
-2407,4774,-160
-2425,4759,-172
-2403,4769,-161
-2419,4761,-165
-2438,4775,-163
-2436,4790,-156
-2450,4823,-163
-2444,4791,-154
-2421,4808,-161
-2429,4786,-148
-2412,4790,-191
-2450,4819,-136
-2437,4780,-153
-2444,4778,-156
-2415,4804,-151
-2439,4766,-157
-2430,4757,-170
-2445,4821,-191
-2415,4775,-151
-2420,4784,-137
-2433,4806,-152
-2434,4806,-161
-2426,4766,-144
-2387,4809,-144
-2435,4823,-156
-2430,4816,-153
-2407,4779,-160
-2458,4809,-176
-2414,4793,-171
-2425,4757,-149
-2462,4825,-145
-2440,4777,-180
-2429,4769,-139
-2418,4811,-186
-2416,4765,-179
-2428,4788,-179
-2407,4764,-143
-2409,4787,-183
-2459,4797,-145
-2410,4813,-141
-2456,4796,-147
-2392,4798,-133
-2451,4803,-150
-2416,4794,-144
-2415,4788,-174
-2435,4781,-145
-2434,4776,-198
-2417,4792,-177
-2404,4786,-147
-2439,4786,-162
-2411,4765,-161
-2424,4781,-152
-2416,4782,-149
-2411,4783,-169
-2424,4769,-170
-2450,4800,-163
-2432,4811,-131
-2413,4820,-141
-2395,4795,-178
-2428,4801,-151
-2429,4803,-159
-2442,4787,-159
-2428,4799,-187
-2434,4786,-133
-2414,4790,-179
-2420,4786,-154
-2426,4799,-152
-2470,4818,-174
-2405,4775,-154
-2387,4769,-146
-2437,4801,-134
-2414,4802,-185
-2476,4784,-181
-2436,4754,-175
-2424,4757,-132
-2424,4750,-151
-2426,4799,-152
-2417,4778,-141
-2437,4791,-180
-2421,4789,-160
-2382,4763,-162
-2401,4803,-164
-2433,4763,-168
-2443,4814,-170
-2429,4768,-142
-2431,4760,-164
-2437,4791,-168
-2405,4777,-158
-2413,4813,-145
-2413,4785,-131
-2413,4808,-144
-2436,4791,-130
