acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-3044,2427,-4657,5148,5405,-5657
-2736,2539,-4557,5187,5452,-5759
-1180,3871,-3249,5219,5589,-6050
-908,4507,-1781,8512,5894,-5723
-968,4479,-1785,8479,5842,-5692
-896,4531,-1533,8488,5846,-5694
-836,4459,-1433,8432,5816,-5744
-720,4467,-1457,8352,5816,-5707
-692,4439,-1273,8261,5756,-5725
-732,4487,-1277,8215,5797,-5740
-688,4411,-1149,8154,5731,-5784
-628,4343,-873,7928,5491,-5800
-76,4895,-337,7318,4444,-5667
-120,5383,-197,6535,2546,-5199
140,5487,-277,6301,2115,-4930
460,5783,-637,5617,1245,-4396
296,5523,-933,4846,1143,-3997
-356,4983,-1125,3990,1339,-3659
-468,5011,-1117,3890,1141,-3616
-356,5487,-945,3956,459,-3308
-556,5831,-1125,3794,120,-2812
-472,4595,-1769,3151,600,-2680
-520,4699,-1629,3014,793,-2665
-488,5451,-605,2820,323,-2341
20,5939,-113,2610,-244,-1892
56,6347,31,1664,-3105,99
-300,5851,-337,1525,-3605,544
-1028,4547,-1661,184,-3238,1176
-1228,4319,-1353,-183,-2961,1252
-1056,4963,251,-1121,-3403,1255
-588,5251,479,-1263,-3961,1115
-316,5591,-1493,-864,-2487,-334
-448,5375,-2201,-451,-1152,-1163
-384,5215,-1725,869,4346,-4479
-516,5435,-849,1207,5627,-5621
-780,6695,391,2898,7860,-8731
-1416,7719,1467,3997,8202,-9365
-1444,7311,2051,5334,7698,-10337
-1536,6915,1515,5804,7641,-10518
-1912,7175,1319,7899,8158,-10623
-2120,7423,2211,8096,8114,-10284
-2876,6651,2499,9066,4986,-8243
-3080,6503,2091,9536,3648,-7402
-3320,5695,143,10370,900,-4634
-3128,5415,-457,10261,57,-3704
-1052,5023,-2549,9099,-1967,-1667
-12,5223,-3457,8766,-2075,-1749
2320,6355,-6153,8970,1135,-3312
3164,6491,-6521,9290,3050,-3892
4680,6467,-5285,8350,10617,-5227
5256,6487,-4721,7583,12778,-5847
5936,7787,-129,5106,15775,-6277
5756,7423,1331,4227,15169,-5422
3944,3767,1795,1611,13055,-1637
2840,2491,1635,662,13071,-291
-224,271,3747,-3615,13141,4590
-1152,-217,4767,-5259,12331,6330
-2780,671,6915,-10534,5541,13253
-2560,1771,7015,-12090,2143,15928
-3120,5587,5959,-16859,-7004,24726
-3544,5819,4871,-17968,-8993,26956
-2064,3571,627,-17790,-11879,28673
-1452,2683,43,-16307,-11459,26800
604,3051,135,-9740,-6696,17676
1080,5343,-269,-7589,-3404,14106
-516,8471,543,-1003,5845,3021
-904,8163,-205,1690,9362,-714
-5492,10419,2495,10401,18566,-10209
-6836,10499,4223,12200,20240,-12675
-6480,11651,7327,14709,19652,-17154
-6480,12363,7823,14643,18421,-17801
-5820,10487,8163,13835,15220,-18589
-4844,7299,7419,12781,10622,-18777
-1056,6951,6743,9955,2887,-15386
-296,7039,6903,8556,407,-13022
704,5455,5339,6136,-4577,-7972
2060,2895,3623,4852,-7986,-4068
4500,591,1399,3482,-11663,-331
5584,347,371,3786,-11803,12
7580,835,-1209,5069,-9273,-215
8936,1715,-1169,5889,-4130,-775
8712,615,1667,5499,6287,-2664
8928,675,2767,5120,9292,-3804
7820,3775,7883,3611,12408,-5209
3620,4735,11867,772,9872,-4426
-96,1447,9095,-3928,2776,-1716
-152,1443,8219,-5066,1391,-561
-1016,2743,7311,-8159,363,2215
-3052,3699,6911,-10596,339,5659
-4580,2711,6075,-13081,-230,10896
-4620,2691,5919,-14023,-148,12336
-3548,3635,6031,-16121,417,15035
-3460,5175,7443,-17592,403,16868
-664,5443,6387,-14612,537,12069
92,6275,7219,-11805,1140,9054
1120,10595,9443,-6509,3224,2540
1212,15659,12235,-2635,3787,-2276
596,16083,10711,3540,2818,-7869
-528,15547,9079,6009,3668,-9599
-3464,14559,7775,9195,6357,-12199
-5828,12495,6367,10938,8579,-13935
-7088,9407,5747,14118,9638,-14943
-7020,9087,5527,14795,9462,-14680
-5908,7579,5683,15116,10154,-12343
-5908,7055,6095,14695,10949,-11156
-4584,5347,7107,13396,10871,-6134
-3704,4891,7399,12886,10700,-4663
-812,4859,9939,12298,7904,-258
700,5143,10959,11672,6700,988
5372,4231,12003,8356,4073,2015
7000,4063,11895,7451,4429,1308
8416,4679,12455,6506,5227,169
8508,5627,13983,4962,6266,-942
8476,5467,14523,2035,8038,-2586
7440,6119,15415,1255,8374,-2749
3740,5935,16751,-916,6924,-2000
364,3595,15375,-3798,3843,-685
-3392,807,12691,-8290,1008,555
-3424,1079,12391,-9768,-167,1568
-4384,3347,12575,-14311,-1727,4450
-6032,4559,11843,-18542,-3149,7468
-6160,5283,10099,-23484,-4507,12030
-5724,5819,9775,-24967,-4367,13225
-4736,7315,11015,-27422,-4920,15343
-3132,7991,11915,-28328,-4726,14983
-212,7995,12775,-23548,-1573,7766
-124,16423,19163,-7986,4165,-2772
-328,16279,18767,-6576,3777,-3062
