acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-503,5374,2071,38,457,-105
-507,5426,2079,55,467,-130
-443,5446,2239,-56,316,-79
-491,5466,2527,-76,267,-111
-471,5282,2047,0,70,-48
-559,5270,1963,-3,64,-55
-499,5298,1975,-12,81,-56
-543,5398,2071,2,56,-42
-507,5366,2051,-28,25,-35
-499,5418,1987,-22,-76,18
-523,5298,1719,-23,9,41
-491,5286,1895,89,121,-17
-487,5410,1783,43,185,-56
-423,5398,2147,-21,129,-41
-435,5382,2279,-7,98,13
-535,5262,2035,21,-49,26
-483,5386,2019,77,-57,33
-475,5386,1967,56,49,16
-423,5310,2103,57,86,2
-507,5354,2219,-14,-27,21
-443,5350,2079,27,-27,37
-515,5346,1971,18,-40,31
-407,5414,1987,36,-23,42
-483,5422,2143,-23,71,-9
-579,5422,2223,-10,64,-6
-447,5350,2211,-38,-4,-8
-471,5398,2119,12,19,0
-487,5370,2027,30,-25,-14
-455,5366,2043,32,-40,-4
-515,5246,2155,-49,-137,36
-495,5294,1927,-16,-125,-2
-479,5338,1947,50,-74,18
-523,5318,1883,58,-17,-5
-495,5314,2131,11,51,-40
-383,5254,2131,52,27,-57
-435,5270,1899,12,17,-46
-559,5358,1891,45,35,-63
-531,5414,1955,51,124,-77
-471,5334,2091,46,105,-78
-475,5402,2175,36,103,-35
-475,5442,2027,37,66,-60
-519,5434,2111,10,50,-54
-539,5450,2067,6,61,-52
-515,5406,2199,11,-10,-42
-491,5486,2111,-13,-13,-31
-435,5450,2143,-78,-119,-85
-443,5474,2115,-51,-164,-75
-623,5426,2055,-21,-171,13
-587,5362,2035,-34,-115,26
-503,5434,2187,-73,-162,112
-495,5398,2119,-94,-188,132
-435,5242,1883,-84,-304,210
-499,5222,1687,17,-335,151
-447,5134,1727,88,-15,88
-499,5286,1715,101,51,48
-431,5418,2051,29,121,-38
-491,5526,2159,-5,102,12
-487,5318,1963,29,-78,23
-511,5394,1807,46,-94,-12
-479,5314,1935,73,59,-13
-491,5314,1903,68,86,-22
-559,5394,2139,-71,-17,26
-567,5394,2047,-63,-76,47
-527,5422,1799,-43,-7,18
-447,5426,1923,-16,109,17
-491,5398,2103,2,269,-20
-471,5346,2123,-14,234,-16
-395,5378,2227,-75,3,-29
-423,5406,2159,-87,8,-49
-459,5338,1895,-12,-46,-28
-523,5354,2019,10,21,-41
-603,5474,1899,67,97,-22
-567,5414,2015,32,43,-24
-467,5326,1931,-25,-22,38
-431,5314,2003,-31,-54,74
-511,5222,1883,36,97,2
-447,5218,1847,24,153,-33
-419,5366,2151,-49,167,-1
-443,5366,2287,-119,77,18
-543,5338,2203,-166,-221,119
-479,5310,2135,-146,-286,163
-583,5254,2087,-112,-231,237
-643,5146,1971,-32,-192,243
-415,4998,1451,-6,-91,32
-179,5070,1471,-15,80,-71
-207,5562,1835,-225,478,-210
-415,5534,2171,-133,428,-215
-955,5662,2487,157,64,-113
-891,5654,2363,160,-36,-16
-463,5438,2259,81,-232,127
-315,5254,2311,59,-293,142
-351,5098,1891,153,-154,70
-359,5046,1775,155,-73,-29
-615,5442,1935,24,58,-35
-643,5542,1975,45,56,-2
-695,5650,1959,97,49,153
-607,5574,2055,133,168,147
-171,5414,2063,27,380,110
-411,5386,2255,105,280,92
-451,5382,2763,-77,8,66
-435,5254,2647,-163,-191,55
-519,5178,2303,-239,-670,-9
-427,5226,2063,-220,-632,-23
-399,5298,1331,-202,-324,-39
-559,5310,1327,-173,-153,-62
-663,5482,1511,-137,172,-94
-607,5458,1619,-123,261,-55
-511,5346,1759,-44,428,27
-559,5330,1839,-11,459,28
-347,5154,2099,-71,332,0
-327,5230,2155,-96,293,14
-383,5218,2347,-80,149,-54
-427,5214,2055,-37,141,-43
-587,5246,2171,112,125,-47
-523,5330,2199,57,164,-34
-407,5334,2279,-10,38,22
-431,5254,2203,-9,-37,-5
-419,5230,1943,84,13,-47
-487,5262,1967,115,96,-55
-559,5402,2195,91,143,-21
-539,5498,2203,31,55,27
-479,5534,1995,182,17,109
-515,5514,1967,180,98,95
-431,5334,2027,141,179,72
-427,5334,2019,96,233,41
-447,5338,2203,-61,-34,101
-491,5322,2147,-65,-98,160
-547,5310,2191,44,-155,170
-459,5422,2119,91,-123,208
-415,5330,2239,11,-225,197
-447,5362,2227,19,-298,238
-487,5214,2087,160,-422,208
-499,5206,1955,149,-341,185
-435,5214,1999,40,-169,71
-411,5178,1931,0,-130,88
-391,5150,1863,88,-54,-15
-403,5194,1787,100,59,-38
-483,5378,1959,111,295,-123
-459,5386,2039,99,243,-115
-595,5350,2267,75,90,-2
-511,5366,2371,75,14,-15
-479,5162,2119,28,-221,32
-347,5182,2047,-23,-174,46
-375,5174,1947,-10,-35,82
-459,5206,1983,14,10,53
-471,5362,2087,9,-48,22
-359,5390,1939,-34,-82,45
-399,5266,2303,-37,-94,138
-475,5318,2051,-65,-221,208
-651,5122,1795,86,-459,331
-515,5042,1607,93,-293,234
-219,5326,1619,35,300,98
-211,5314,1739,52,447,86
-599,5238,2383,99,425,156
-579,5190,2491,89,327,181
-399,5062,2967,-33,-305,351
-483,5090,1867,-79,-899,215
-487,5058,1775,-18,-870,193
