acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1,1610,1347,-359,430,-82
-27,1626,1463,-422,444,-89
41,1710,1575,-272,-174,27
73,1702,1535,-108,-352,45
237,1446,1571,-149,320,-289
249,1518,1743,-119,281,-317
249,1590,1715,-126,236,-299
241,1650,1707,-78,48,-318
317,1622,1647,-31,-26,-303
353,1654,1663,-140,120,-222
397,1634,1635,-230,155,-191
425,1514,1847,-413,-164,-24
421,1514,1611,-359,-316,20
301,1502,1055,-231,-155,115
349,1382,991,-216,28,88
341,1426,1503,-377,376,39
305,1426,1699,-393,210,56
281,1478,1551,-317,-485,167
369,1450,1243,-206,-529,163
337,1390,1059,-216,159,53
393,1502,1231,-236,316,23
377,1650,1779,-274,-27,142
373,1618,1719,-269,-227,217
301,1382,1271,-174,-187,240
285,1454,1131,-203,-47,198
261,1638,1535,-135,201,206
273,1626,1675,-119,119,232
21,1282,1535,-174,-147,311
49,1250,1439,-192,-151,278
-31,1250,1407,-113,-77,-57
17,1250,1427,-45,-64,-116
69,1610,1343,-22,-76,-98
129,1574,1367,0,-61,-118
193,1474,1367,25,-87,-158
105,1362,1355,100,-79,-215
197,1442,1303,239,134,-453
233,1346,1543,183,187,-525
425,1702,1579,-30,-12,-392
521,1830,1563,-14,-109,-269
405,1598,1343,187,59,-138
413,1570,1163,219,156,-133
457,1678,1443,78,432,-138
413,1738,1855,7,289,-105
385,1766,1583,74,-399,207
365,1618,1319,67,-377,264
273,1410,1107,198,454,-7
165,1430,1279,173,625,-67
133,1682,1907,73,367,-135
225,1774,2003,6,124,-93
253,1882,1483,-22,-355,128
293,1806,1399,-47,-286,182
285,1686,1271,104,213,78
245,1698,1467,77,273,74
185,1522,1763,-71,73,81
141,1582,1667,-98,-65,64
321,1558,1387,-97,-35,13
373,1598,1323,-23,14,2
425,1550,1627,-30,56,32
345,1642,1747,-77,7,100
349,1674,1487,-163,-119,274
429,1510,1455,-170,-124,243
153,1286,1459,3,48,72
129,1294,1411,31,91,-3
253,1418,1359,22,111,-125
221,1518,1467,30,179,-156
113,1502,1479,-10,159,5
217,1442,1659,-87,141,105
133,1382,1675,4,-84,-38
141,1374,1527,-9,-116,-103
273,1630,1307,-1,-2,-124
297,1626,1539,-1,67,-94
245,1422,1627,-24,78,-62
281,1330,1503,19,16,-73
249,1542,1491,195,-20,-170
285,1634,1395,197,75,-170
289,1626,1599,10,290,-49
337,1494,1771,2,164,-68
201,1294,1571,85,-302,-128
257,1338,1487,126,-335,-151
441,1626,1115,126,171,-232
493,1702,1427,87,326,-150
401,1630,1875,115,186,39
285,1558,1947,92,-34,113
285,1438,1515,191,-311,114
261,1562,1491,163,-216,99
321,1706,1407,141,57,128
369,1642,1443,166,96,156
105,1486,1475,303,153,16
13,1462,1623,281,128,-66
177,1470,1675,123,82,-340
181,1502,1751,92,27,-326
333,1650,1423,136,-125,-287
369,1638,1323,207,-95,-227
461,1538,1379,178,280,-191
465,1518,1331,153,384,-242
497,1890,1871,44,118,-66
453,1962,1787,-23,-10,44
385,1550,1583,23,-316,270
409,1482,1435,26,-232,253
349,1566,1271,45,265,37
233,1654,1495,-5,403,14
205,1838,1799,-14,325,165
201,1786,1967,-13,89,272
33,1374,1539,-19,-270,279
5,1262,1323,1,-242,212
-91,1498,1467,58,258,-63
-151,1546,1647,53,221,-45
-163,1218,1547,-59,-63,-112
-103,1206,1595,-38,-197,-230
-35,1374,1359,196,-187,-524
-3,1558,1399,231,-223,-545
93,1582,1271,246,41,-498
133,1478,1263,233,208,-496
-75,1074,1615,247,450,-706
37,1010,1627,260,451,-854
545,1630,1623,-23,250,-1113
777,1882,1543,-158,103,-982
909,2118,1467,-94,-507,-151
741,1994,1395,19,-671,29
529,1746,1187,358,-451,131
597,1806,1395,365,-330,103
505,2062,2015,224,-370,291
549,2034,1995,189,-429,322
545,1766,1959,244,-605,355
485,1794,1755,272,-577,252
525,1934,1739,185,-472,159
441,2022,1667,162,-422,266
561,2150,1531,-184,-221,638
561,2030,1503,-306,-248,716
377,1722,1635,-324,-531,761
249,1738,1555,-340,-629,782
265,1886,1307,-380,-516,793
237,1918,1315,-363,-413,782
253,1730,1499,-516,-310,862
125,1530,1391,-483,-318,827
-31,1218,1111,-300,-294,485
13,1246,1175,-234,-198,283
297,1658,1195,-156,400,-71
389,1862,1231,-207,620,-82
509,1678,1531,-298,807,-83
385,1534,1607,-225,742,-190
117,1338,1179,66,672,-450
177,1350,1103,2,735,-462
157,1654,1191,-401,1059,-261
93,1678,1351,-464,975,-128
69,1646,1207,-455,226,104
73,1650,1167,-366,133,155
-183,1574,1171,-384,129,164
-223,1658,1119,-428,107,193
-155,1446,1219,-514,326,126
-211,1286,1263,-459,342,-9
-31,1562,1487,-422,65,-369
57,1658,1535,-347,-162,-375
225,1954,1083,-246,-383,-145
133,1142,2015,12,69,-416
229,1090,1907,55,45,-476
213,1182,1955,104,-28,-479
249,1194,1787,99,3,-525
509,1778,1687,139,-229,-420
793,1870,1715,77,-243,-266
825,1954,1739,-195,-145,223
597,1894,1783,-193,-157,314
1,1170,1951,-107,-548,496
69,890,1447,-58,-539,285
481,1546,775,199,383,-481
525,2046,1219,56,649,-374
417,2122,1915,-497,-76,501
353,1746,1835,-487,-603,787
-59,642,759,40,-1596,750
-39,558,375,229,-1396,523
425,1286,395,551,268,-110
457,1618,839,484,697,-198
225,1822,2411,399,36,253
73,1610,2571,500,-470,355
-235,890,1563,807,-997,-125
-219,926,1243,820,-578,-363
41,1758,1851,533,767,-849
17,1966,1919,480,584,-806
269,1718,1943,282,-553,-591
333,1570,1359,291,-827,-595
377,1518,415,295,-101,-838
449,1550,447,363,337,-897
565,1606,1131,470,637,-891
629,1494,1323,505,424,-827
749,1502,691,827,-27,-576
805,1594,619,979,88,-437
297,1310,759,1240,622,-66
213,1110,851,1352,734,-109
97,1018,1243,1488,794,-581
205,1266,1215,1462,698,-677
717,2374,1087,1421,816,-772
705,2574,1151,1366,1004,-608
677,2158,1711,1164,1159,-58
557,1954,1959,1236,1020,24
81,1686,2151,1229,394,165
69,1710,1915,1146,442,169
-35,2182,2039,773,879,169
-79,2382,2223,566,944,211
213,2374,2531,165,490,208
181,2486,2575,103,238,179
-231,2194,2467,-297,-225,280
-195,2030,2311,-423,-192,249
189,1714,2091,-649,39,-200
221,1806,2099,-648,2,-196
157,1746,2203,-543,-574,222
77,1582,1867,-568,-698,309
-159,1042,1451,-705,-898,468
-139,974,1235,-831,-781,414
57,1342,1143,-711,-950,317
17,1610,1267,-594,-1041,367
305,1874,699,-390,-898,425
409,1886,587,-378,-697,375
265,1706,1067,-110,-498,207
249,1622,1247,12,-577,179
33,1226,923,421,-606,-70
85,1222,967,468,-507,-109
289,1302,1079,462,-114,-357
341,1366,1383,499,-92,-371
501,1710,1443,564,-507,-178
577,1778,1487,570,-604,-54
417,1706,1115,428,-404,183
485,1550,1095,411,-224,151
561,1426,1351,444,76,-148
497,1734,1523,470,36,-132
493,1994,1539,385,-66,33
509,1994,1391,351,-52,90
493,1774,1427,136,165,134
441,1714,1463,85,135,122
501,1538,1343,105,142,57
449,1662,1371,154,131,77
189,2062,1455,52,266,547
129,1834,1567,-1,309,687
-43,1154,1703,-206,90,357
-99,1074,1707,-204,-86,122
129,1410,1267,106,-261,-402
269,1650,1051,113,-43,-421
625,2102,1087,-120,828,-175
569,2118,1219,-168,909,-46
229,1674,1691,-262,307,337
389,1494,1567,-249,100,330
257,1626,987,-192,8,381
297,1798,907,-204,252,372
349,1918,1427,-307,775,615
209,1774,1707,-305,636,665
-91,1062,1823,-153,-129,595
-103,994,1635,-140,-245,452
-43,1362,1419,-157,288,65
105,1566,1447,-222,455,81
161,1654,1919,-389,148,268
93,1354,1979,-357,-116,306
141,1198,1551,-275,-441,115
49,1154,1307,-268,-400,72
341,1614,1015,-160,62,58
349,1622,1011,-168,226,121
301,1270,1467,-159,199,202
261,1206,1739,-158,73,150
273,1262,1727,-156,-393,143
257,1310,1499,-138,-446,125
325,1494,1307,-95,90,69
329,1502,1315,-82,259,22
245,1178,1871,13,353,-241
121,1342,1899,53,226,-262
121,1254,1643,-47,-84,-385
241,1350,1507,-114,32,-441
325,1598,1427,-319,314,-397
341,1694,1735,-397,237,-284
205,1466,1639,-302,-156,-25
209,1398,1555,-253,-243,40
281,1378,1187,-357,17,1
293,1410,1403,-416,88,-35
341,1538,1463,-389,-205,-40
325,1702,1511,-348,-341,-22
361,1654,1139,-338,-192,72
337,1590,1075,-334,-40,69
253,1410,1635,-261,306,-106
257,1486,1779,-216,171,-89
229,1634,1671,-221,-172,26
293,1558,1647,-294,-213,53
313,1486,1335,-290,-18,-22
241,1454,1443,-291,50,-14
269,1526,1355,-184,-81,-46
301,1574,1331,-155,-52,-1
285,1486,1271,-196,154,87
301,1466,1243,-206,305,16
81,1474,1771,-92,111,-99
105,1450,1659,-52,-37,-76
145,1614,1435,-162,-63,-145
153,1594,1291,-193,-15,-206
241,1566,1403,-169,186,-247
225,1538,1395,-60,116,-261
361,1622,1487,105,-175,-206
349,1626,1447,44,-180,-122
417,1646,1387,-129,-243,39
405,1634,1207,-121,-165,82
393,1514,1231,120,11,119
369,1546,1283,207,91,104
461,1650,1575,119,2,177
365,1598,1667,97,-83,248
265,1466,1615,76,-108,254
253,1426,1491,86,-81,200
197,1502,1603,163,17,30
221,1402,1415,136,67,-26
325,1734,1583,-93,96,54
397,1622,1703,-119,69,113
253,1418,1431,134,-346,193
129,1370,1219,232,-290,124
257,1386,1207,156,253,-68
277,1610,1447,74,344,-104
221,1486,1583,55,-158,83
121,1486,1551,109,-266,46
137,1342,1475,185,-280,-27
253,1462,1299,204,198,-253
325,1590,1439,108,261,-248
345,1738,1835,-9,80,-88
305,1638,1603,-6,-132,79
161,1274,1311,240,-30,-123
325,1382,1295,201,118,-196
325,1746,1763,42,138,-106
397,1758,1831,27,-44,-37
305,1446,1531,19,-202,74
313,1394,1183,25,-137,-2
173,1446,1355,153,343,-231
277,1574,1599,132,335,-211
385,1806,1839,49,26,-118
497,1714,1663,-64,-266,158
277,1286,1219,91,-42,87
233,1338,1283,92,112,33
229,1638,1687,5,105,13
253,1682,1799,-19,-12,48
345,1554,1323,-2,-194,155
237,1426,1259,39,-141,101
141,1438,1379,99,249,-42
137,1498,1539,95,259,-81
341,1654,1739,34,109,-40
333,1802,1715,-79,-67,79
321,1498,1427,64,-133,79
277,1610,1383,115,-89,60
161,1558,1595,-18,138,68
149,1514,1599,-49,152,31
121,1402,1675,-140,-53,-59
105,1454,1711,-110,-198,-115
277,1662,1451,16,-206,-127
325,1706,1211,44,-89,-105
401,1790,1227,20,77,-13
281,1550,1555,-74,-25,108
161,1326,1539,33,-118,23
185,1310,1391,4,-104,-29
397,1606,1511,39,126,-60
365,1630,1683,40,12,15
253,1410,1391,-1,-69,61
293,1406,1303,44,-4,15
257,1502,1383,89,182,-131
281,1646,1563,113,154,-77
313,1710,1735,26,-101,29
425,1606,1511,-39,-236,204
345,1370,1263,76,91,151
269,1342,1395,117,182,105
209,1442,1715,43,92,-23
265,1450,1643,-36,-56,16
257,1634,1299,-59,-84,58
349,1630,1295,26,-73,105
241,1470,1423,192,85,100
169,1350,1487,109,123,47
277,1422,1491,-48,66,20
177,1490,1719,-81,0,4
229,1582,1499,107,-144,68
269,1502,1359,127,-148,44
213,1450,1419,-18,120,-32
221,1446,1431,-90,108,-57
241,1418,1459,-36,-34,-76
269,1586,1459,153,-217,-104
273,1498,1251,89,-79,-99
305,1486,1351,42,42,-30
241,1534,1419,-34,109,-67
201,1518,1579,28,53,-72
313,1530,1483,201,-123,-87
313,1586,1595,191,-107,-63
277,1450,1471,-85,42,-11
333,1426,1475,-135,162,-61
285,1626,1707,8,88,-104
341,1690,1563,21,-13,-69
349,1670,1571,-16,-216,91
285,1634,1627,-89,-217,117
209,1510,1343,-98,-185,147
225,1414,1191,-45,168,33
265,1642,1575,8,69,-33
269,1610,1567,-51,-97,7
241,1582,1451,-39,-370,183
277,1562,1243,-74,-266,165
201,1418,1075,-24,46,99
73,1306,1467,-22,326,-39
189,1590,1843,-123,-88,12
225,1642,1783,-131,-331,65
81,1674,1459,-79,-558,128
81,1470,843,-61,-240,27
245,1626,1339,-101,381,-156
265,1814,1595,-125,206,-153
333,1570,1491,-29,-666,8
237,1490,1159,55,-612,7
337,1390,1083,-12,354,-206
429,1526,1411,-26,554,-244
413,1526,2107,-108,-127,-49
509,1446,1931,-84,-449,-17
477,1466,1255,10,-448,-11
545,1554,947,-37,-18,54
377,1442,1663,-139,374,184
341,1318,1679,-185,264,213
221,1362,1575,-146,-147,125
317,1538,1459,-145,-231,136
145,1554,1123,-22,-178,121
141,1594,995,-77,0,102
289,1586,1187,-186,574,-2
301,1666,1535,-184,455,38
241,1750,1847,-53,-142,172
141,1466,1507,106,-473,233
13,1270,847,-8,400,-76
149,1270,1311,-105,647,-155
265,1566,1899,-273,306,-276
293,1670,2015,-215,-55,-210
357,1658,1163,-33,-595,-34
