acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-331,2534,3279,-714,360,68
-363,2406,3287,-715,395,22
-467,2102,3723,-891,1012,-650
-603,2278,3927,-820,1004,-967
-431,4210,3311,-110,561,-1714
-439,4262,3331,-193,776,-1736
-427,4290,3351,-239,911,-1758
-543,4634,4231,-846,1846,-1909
-659,4882,4907,-1121,1814,-1996
-1239,5718,5771,-1635,320,-1897
-1339,5850,5587,-1765,-174,-1866
-1815,5934,4531,-2443,96,-2104
-1939,5826,4443,-2798,525,-2365
-2151,5598,5107,-3194,908,-3449
-2259,5450,5251,-3162,691,-3885
-1943,5726,4735,-3137,69,-5335
-1807,5822,4603,-3160,110,-5715
-1491,6042,4531,-3608,452,-6653
-1379,6022,4987,-3726,176,-6845
-1007,5450,5175,-3767,-1005,-7640
-747,5406,5111,-3748,-1446,-7958
81,5966,4703,-3388,-2550,-8270
-19,5942,4731,-3207,-2752,-8221
-23,5674,4579,-2995,-2883,-7639
341,5534,4555,-3062,-2688,-7468
953,5038,5051,-3312,-2277,-6916
925,4998,5263,-3222,-2503,-6617
725,5358,4975,-2925,-3299,-5430
857,5438,4667,-2908,-3204,-4994
1525,5262,4291,-2618,-2227,-3781
1645,5258,4443,-2490,-1932,-3410
1569,5226,4687,-2030,-1813,-2366
1661,5258,4467,-1861,-1713,-2081
1881,5914,4279,-1321,-1195,-1090
1789,5842,4391,-1057,-1091,-767
1301,6110,4251,58,-786,441
1009,6142,4155,268,-498,810
925,5814,4471,847,185,1396
1437,5742,4895,860,28,1079
2673,7250,4683,740,-983,-131
3205,8390,4383,774,-1366,70
2445,10858,2715,732,-1257,2740
1929,10462,2607,398,-137,3723
-367,7230,3275,96,4057,5381
-795,6378,3627,318,4617,5480
-1263,5842,4215,1686,4519,5031
-1375,6182,3875,2189,4181,4852
-1463,6854,3055,2742,4271,3752
-1263,7010,2771,2590,4563,3354
-1199,8022,2799,2019,5011,2469
-1339,8102,3047,1696,4898,2262
-3407,8234,2731,834,3067,1663
-3455,8518,2387,559,2621,1797
-2027,9210,1643,-1215,2952,2348
-2255,9322,1703,-1093,2760,2594
-4463,9306,3159,-1729,1540,3633
-5367,9190,2859,-2132,981,3985
-6031,7674,2307,-3600,849,5091
-6047,7154,2363,-4165,1035,5147
-6811,6210,2883,-3981,561,4696
-7411,6238,3051,-3992,156,4511
-7895,5918,2415,-4311,-49,3915
-7727,5626,2387,-4552,573,3473
-7227,5274,3627,-4976,1648,1977
-7023,5298,4035,-4902,1527,1505
-6143,6090,4623,-4561,346,522
-5607,6370,4771,-4528,-37,521
-4383,6038,4851,-3568,-1149,874
-3875,5846,4755,-2951,-1132,913
-859,6226,5003,-3228,906,-426
313,6238,5267,-3815,1389,-1810
3985,8754,6819,-3468,-2343,-5976
3989,9178,8227,-2700,-3943,-6259
4809,9018,8559,-1714,-7288,-10878
6125,11198,7911,-1670,-8924,-11887
2125,10910,5939,52,-10112,-11871
705,10506,6107,-324,-8997,-11787
1685,10534,6415,-1562,-6657,-11546
2025,10466,6291,-948,-7032,-11397
933,11058,5979,1521,-9212,-9499
-139,10870,5263,1640,-9368,-8745
-2191,8726,3147,468,-5647,-6522
-2627,7482,3139,-252,-3921,-6322
-2923,5186,4823,-230,-1262,-6004
-3479,4730,5327,417,-1488,-5897
-4211,5242,4891,2201,-2243,-5952
-4011,5658,4575,2348,-1922,-5972
-2435,6258,5359,1593,-319,-5748
-2343,6406,5587,1518,-252,-5493
-2607,6858,6007,1754,-1735,-3950
-2491,6894,5767,1759,-1830,-3395
-1375,6834,5291,2205,-1708,-1916
-1103,6882,5267,2401,-1698,-1394
165,8554,3395,3256,-599,869
125,9330,2427,3307,969,1674
813,11046,2511,2138,4959,4661
1177,11286,2759,2164,5222,6022
941,10546,3063,4554,3770,10072
