acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-5111,13478,930,753,429,-284
-5135,13454,838,659,725,-184
-5379,12906,1434,62,2634,-64
-5371,12806,1862,24,2806,-144
-4575,13462,1410,683,973,-67
-4607,13482,1214,806,1005,75
-4703,13470,1070,878,1059,181
-4751,13362,970,985,1186,265
-6287,11810,746,1692,2737,617
-6719,11570,822,1699,3275,388
-6887,11210,238,1951,5511,-788
-6943,10958,114,1879,6550,-1214
-7139,10878,-158,1865,10387,-2617
-7003,10910,-6,1888,11483,-3057
-5663,11330,1642,1658,12638,-3882
-5367,11130,1938,1589,11825,-3971
-5287,10130,2182,2575,7048,-4515
-5471,9986,1830,2941,5836,-4961
-5299,11282,270,4414,4609,-6470
-4975,12170,110,4849,5123,-6866
-4663,14698,758,5996,7495,-7280
-4883,14942,1034,6326,8025,-7306
-6159,15738,1666,7365,9188,-7556
-6611,16126,2002,7692,9638,-7594
-7611,16554,2650,8201,11310,-7657
-8007,16706,3026,8345,11741,-7540
-8443,16834,4654,8205,12257,-6591
-8503,16514,5226,7812,11873,-6134
-9315,15234,5942,6509,8790,-4761
-9571,14778,5838,6346,7588,-4534
-10335,13362,5390,5866,4912,-4339
-10471,12766,5154,5676,4436,-4374
-11043,11454,4414,5527,3715,-4702
-11295,11106,4186,5613,3642,-4821
-11739,10238,3582,6034,4242,-4977
-11887,9846,3622,5978,4706,-4905
-12783,8602,3758,5287,6499,-4831
-13099,8506,3858,4926,7177,-4899
-13727,9046,4290,3710,9194,-5647
-13883,9402,4486,3472,9696,-6023
-13335,12574,5194,3275,9989,-6767
-13187,13118,5306,3339,9478,-6701
-14595,17074,5598,2655,7044,-7923
-14719,19858,5266,2523,6320,-8766
-15491,26118,4398,2858,5147,-13120
-14967,29482,3962,2940,5425,-15009
-12631,29446,4014,789,5065,-17722
-12599,29522,3022,-807,4949,-17980
-12299,26814,1914,-3334,3265,-16486
-12255,24934,2566,-3583,1947,-15288
-11703,20906,2242,-4886,-2068,-11162
-11843,19722,2074,-5267,-2638,-10161
-11191,15190,1094,-5127,-4501,-7203
-11147,13714,526,-4896,-4955,-6555
-11679,12286,-466,-3906,-4446,-5617
-11735,12270,-702,-3440,-4000,-5435
-11375,12050,-730,-2264,-1524,-4707
-11147,11674,-790,-2033,-656,-4156
-11351,9654,-214,-2065,1953,-1887
-11547,9210,62,-2276,2561,-1183
-11939,8654,1238,-3004,2920,1018
-11979,9066,1726,-3076,2429,1639
-12007,11390,2618,-2547,-504,3337
-12139,12442,3010,-2161,-1852,3762
-12499,13482,3770,-721,-6927,5576
-13355,13382,4078,-732,-8189,5852
-13295,19986,4254,-1113,-12612,5305
-13643,21594,3950,105,-14695,5139
-15883,32674,4138,4616,-19042,976
-15467,33293,3430,6682,-19393,-762
-12339,33293,3690,15373,-20117,-3278
-12083,33293,3902,16197,-19280,-2547
-12219,24858,3838,11515,-13923,4012
-12223,22210,3254,8602,-11435,7042
-15747,20522,654,2914,-3833,14274
-16543,19950,822,2392,-1753,15759
-16443,15610,2394,1450,3119,17886
-16223,13810,2590,1656,3897,17972
-14719,10090,3074,3254,5484,17578
-15199,9582,3658,3657,5611,17562
-16387,7322,5442,5215,4265,15168
-16691,7014,5894,5825,3183,14309
-17043,6766,5770,7600,-816,11585
-17071,6802,5426,8054,-1886,10855
-16831,8650,4210,8716,-2896,8980
-16451,9794,3722,8581,-2645,8859
-17307,15550,3474,6315,-478,8284
-17907,19642,2758,5031,549,7472
-18251,23342,1966,2939,5986,2775
-18127,23694,2466,1694,7867,-39
-17079,29450,2614,-2578,15557,-12984
-15891,26682,4422,-4007,16228,-16106
-12539,19222,2626,-10365,9852,-19111
-12567,18626,1038,-10258,7024,-18796
-13235,19150,-166,-3971,-267,-15994
-13183,18030,702,-2450,-1140,-14939
-13915,13734,1226,-3295,-34,-14170
-13895,12618,1230,-3504,268,-14456
-10983,9694,94,-3975,-157,-14344
-10635,9630,-618,-4106,-24,-14008
-10403,9054,-886,-5171,3865,-13112
-10651,8898,-474,-5385,5003,-12767
-10871,9070,810,-3522,4302,-11110
-11131,9290,1486,-3149,3761,-10785
-10771,11298,2410,-2697,1258,-8662
-10751,11670,2358,-2347,107,-7856
-9611,13230,1834,-1230,-3599,-4742
-10007,13342,1778,-1219,-4189,-3936
-9719,24154,1170,-2113,-3969,-2661
