acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-7313,14363,-1872,245,2632,-2173
-7265,14367,-1800,302,2545,-2047
-7481,14007,-1860,476,2231,-1543
-7665,13491,-960,291,478,-917
-7593,13483,-1020,249,297,-874
-7625,13447,-1092,226,184,-901
-7381,13631,-1160,-172,-1148,-667
-7521,13755,-1328,-248,-1563,-558
-7777,13831,-1740,-178,-2076,-364
-7765,13855,-1888,-250,-1950,-364
-7933,13943,-1952,-18,-1560,-226
-7981,13983,-1908,56,-1550,-167
-8569,13675,-1556,6,-1685,-15
-8573,13679,-1604,-28,-1652,-93
-8661,13219,-2004,107,-1325,-510
-8609,13203,-2060,121,-1022,-684
-8585,13299,-1712,-169,-291,-1279
-8645,13219,-1572,-246,-386,-1419
-8741,13427,-1728,88,-992,-1930
-8681,13659,-1852,278,-998,-2080
-8633,14055,-1784,347,-719,-2113
-8749,13987,-1972,434,-823,-2173
-9277,13547,-1644,289,-730,-2362
-9241,13419,-1720,48,-652,-2421
-9493,13383,-1708,-172,-834,-2573
-9701,13235,-2068,-23,-895,-2753
-9833,13819,-2060,77,-263,-3288
-10073,13763,-1788,-24,-319,-3325
-10821,13227,-1452,75,-778,-3511
-11081,13011,-1660,113,-893,-3684
-11865,12815,-2492,147,49,-5368
-11865,12991,-2444,-35,833,-6238
-12045,14131,-2920,-1431,3380,-9454
-11937,14563,-2720,-1856,4097,-10267
-11941,15563,-1884,-2863,4838,-11440
-12669,16263,-1304,-3474,3999,-11700
-14097,16059,-2080,-3767,2914,-11817
-14037,16235,-2236,-3691,3212,-11906
-14301,16367,-1112,-3892,3633,-11835
-14085,16267,164,-3848,1492,-11662
-14205,16399,620,-3465,-2600,-11401
-13909,16491,356,-3552,-3607,-11366
-13957,17035,944,-4362,-6123,-10756
-13945,17251,440,-4466,-6999,-10482
-13797,17619,-24,-4763,-8718,-9281
-13697,17771,120,-5060,-8946,-8695
-13993,17835,-144,-5287,-10140,-6355
-14557,17371,-216,-5127,-10548,-5511
-15433,16447,-384,-4766,-11940,-3983
-15609,16219,-652,-4291,-13296,-2723
-15813,16319,-692,-3702,-14992,-1035
-15953,16331,-772,-3520,-15680,-475
-16733,15811,-1504,-2915,-16767,469
-17121,15631,-2752,-2368,-16894,738
-16657,16111,-3488,-2306,-14362,826
-16681,16283,-3744,-2387,-13387,747
-17069,16571,-4920,-2024,-9502,-147
-17125,16935,-5816,-1635,-7851,-620
-15629,19847,-6696,-853,503,-1772
-15545,20607,-6328,-1023,3372,-1733
-15937,21963,-3920,-605,9101,-1680
-16121,22459,-3204,-396,9885,-1673
-15353,19951,-1636,1578,9924,-175
-15189,18867,-1000,2264,9796,608
-15617,16055,1272,3559,6983,3404
-15777,14935,1384,3800,5659,4048
-15877,13355,1796,4501,2098,5183
-15729,12695,1924,4928,-1750,5965
-15645,13551,1792,4646,-7673,6321
-15745,13951,1900,4545,-9563,6244
-16025,14947,1140,4384,-13226,5788
-16437,15919,368,4593,-16177,4907
-15921,18495,-916,5376,-18476,3716
-15877,19539,-868,5583,-18680,3509
-15705,19827,-864,6596,-19232,3253
-15609,20191,-1264,7999,-18928,3625
-15841,19627,-3748,10410,-16719,4771
-15913,19319,-1572,11274,-15793,5257
-17621,18151,-8352,11820,-12437,6026
-15993,17731,-2464,14004,-8646,6283
-16013,16663,-1072,14234,-5977,6181
-16109,16407,-624,14180,-5530,5970
-16245,15299,248,13538,-5183,4967
-16305,14959,272,13130,-5229,4554
-16173,13975,-68,11704,-4537,3199
-16105,13807,-152,11203,-4334,2782
-16341,13219,-248,9315,-3436,1495
-16573,13023,-204,8765,-3248,1175
-16885,12923,-452,7594,-2980,301
-16829,12911,-644,6423,-2306,-542
-16829,14171,-528,4411,-1094,-1839
-16933,14859,-492,3700,-848,-2293
-16877,16571,-552,2063,-686,-2885
-16693,17051,-792,384,235,-2896
-17349,16851,-456,-2058,1773,-2827
-17429,18431,-216,-3109,1822,-3200
-17101,21351,-132,-5965,973,-4332
-16453,21495,-1960,-8782,1495,-4990
-15985,18039,-3492,-11197,6308,-4638
-15957,16599,-3536,-11501,8319,-4071
-16809,14447,-2604,-11538,12231,-2961
-17633,13155,-1292,-10926,13605,-2509
-17185,11823,608,-9328,12679,-2549
-16837,12043,1212,-8948,11907,-2548
-16281,13459,1808,-7980,8297,-2637
-16113,14263,1604,-7609,7250,-2744
-15361,16111,248,-6875,6906,-2569
-15257,16191,-28,-6837,7354,-2585
-15541,17091,-296,-7134,9010,-2810
-15541,17423,-356,-7325,9405,-2950
-15465,17703,-208,-8200,10171,-3390
-15233,17751,-40,-9227,10710,-3717
-15645,18755,-180,-10791,10992,-4082
-15657,18999,-248,-11138,10978,-4160
-15749,19235,-952,-11432,11441,-4391
-15605,19007,-544,-11661,11643,-4390
-16101,18191,-520,-11918,10552,-4150
-16641,16875,-2204,-10722,8763,-3580
-16585,16847,-2244,-10571,8715,-3499
-16601,16639,-2332,-10267,8625,-3365
-16989,15735,-3028,-8492,8682,-3004
-17109,15379,-3216,-7878,8742,-2981
-17149,14415,-3732,-6225,9607,-2925
-17213,14327,-3696,-5661,9662,-2897
-17169,14439,-3532,-4275,9353,-2998
-17229,14527,-3872,-2755,8747,-2789
-17345,15155,-3412,-251,7795,-2149
-17445,15431,-3112,501,7251,-1974
-17573,16687,-2816,1813,6014,-1894
-17337,17951,-3092,2532,4698,-2016
-16825,19975,-3824,3652,3994,-1865
-16841,20247,-3664,4035,3953,-1700
-17065,19915,-2952,4582,3773,-1359
-17365,18879,-2256,4888,2964,-1122
-17889,22275,-1444,4327,225,-2176
-17709,23567,-1548,3853,-1390,-2734
-15921,23567,-4256,5381,-3455,-2545
-15525,23235,-4008,6259,-2592,-1822
-15909,17459,-1152,9463,-836,2085
-15985,15771,-524,10466,-1123,3249
-15553,12459,992,13099,-3640,6946
-15333,12779,1676,13654,-4850,7780
-14197,15219,3132,13078,-10096,8603
-13577,15887,2884,12296,-11783,8536
-11541,17607,1668,9762,-15824,8218
-11117,17979,1344,9171,-16340,8236
-10349,18383,700,8830,-16327,9038
-10605,18471,1316,8723,-15838,10994
-11673,17839,3084,8393,-16491,13901
-11457,17739,3560,8155,-17379,14290
-10313,16915,3184,7177,-19366,14714
-9785,15431,2104,6478,-20824,15413
-11049,14523,1968,6507,-22504,16633
-11237,14295,1612,6688,-22898,16735
-11073,14279,852,7188,-22807,16231
-11009,14355,552,6860,-22577,15795
-10933,14619,-1884,5569,-20776,14778
-11137,14883,-2284,5357,-19776,14701
-12041,15239,-3348,4825,-14940,14358
-12245,15267,-3828,4802,-13413,13927
-11681,15387,-3936,4320,-9847,13096
